ShipmentID,OrderID,OrderDate,ShippedDate,DeliveryDate,ReturnDate,EstimatedDelivery,Carrier,TrackingNumber
45656,847854,2022-03-19,2022-03-22,2022-03-22,,2022-03-24,UPS,FvX487101819
71782,798523,2023-01-31,2023-02-02,2023-02-07,,2023-02-06,DHL,Evm817337695
9637,125173,2023-07-19,2023-07-21,2023-07-27,,2023-07-22,UPS,gBY152914612
69734,680125,2021-11-18,2021-11-20,2021-12-02,,2021-11-26,USPS,Ftn701735522
4987,593641,2023-08-28,2023-08-29,2023-09-05,,2023-09-12,DHL,NMv021320813
14826,314066,2022-07-13,2022-07-16,2022-07-17,,2022-07-23,UPS,wbJ810716369
65233,746535,2022-07-05,2022-07-06,2022-07-17,,2022-07-09,USPS,VYL415402290
98157,361482,2022-05-21,2022-05-24,2022-05-27,,2022-05-25,UPS,LJn670738902
87054,897100,2023-03-17,2023-03-19,2023-03-25,,2023-03-28,FedEx,ppw943295375
29308,606924,2023-04-11,2023-04-13,2023-04-21,,2023-04-21,DHL,OHy125998992
26124,221302,2022-06-25,2022-06-26,2022-07-06,,2022-07-10,Royal Mail,cik612186639
50880,499037,2023-04-09,2023-04-10,2023-04-22,,2023-04-20,UPS,FKs078011146
38351,358163,2023-07-15,2023-07-16,2023-07-24,,2023-07-17,Royal Mail,bbv389070557
78178,282012,2022-05-29,2022-06-01,2022-06-05,,2022-06-03,FedEx,Pxq153538933
71810,451949,2023-07-28,2023-07-30,2023-08-02,,2023-08-01,FedEx,Omw707704325
51726,888330,2022-01-15,2022-01-18,2022-01-18,,2022-01-28,FedEx,Zrb807607494
13301,41634,2022-10-16,2022-10-18,2022-10-19,,2022-10-30,USPS,zLw673970979
58295,829499,2023-09-12,2023-09-15,2023-09-17,,2023-09-16,FedEx,kfq759630568
49654,701821,2022-08-25,2022-08-27,2022-08-29,,2022-09-04,USPS,sIX981451322
13361,671727,2022-10-04,2022-10-06,2022-10-18,,2022-10-12,UPS,RCk534632635
74295,364056,2023-02-12,2023-02-13,2023-02-16,,2023-02-21,FedEx,GxZ502391335
8168,797853,2022-02-25,2022-02-27,2022-03-01,,2022-03-06,USPS,xWz713827270
33130,107592,2022-01-01,2022-01-04,2022-01-06,,2022-01-14,Royal Mail,rGo160338187
8688,519589,2022-12-16,2022-12-18,2022-12-27,,2022-12-24,Royal Mail,Btq963045774
30726,145873,2022-12-17,2022-12-19,2022-12-19,,2022-12-23,Royal Mail,ZOD770812614
24196,238090,2022-08-28,2022-08-30,2022-09-01,,2022-09-09,FedEx,pIV330170813
82332,884656,2022-11-11,2022-11-12,2022-11-25,,2022-11-21,Royal Mail,BhP267130273
84114,936802,2023-08-22,2023-08-24,2023-09-04,,2023-09-02,UPS,Gtv715366876
56117,714771,2023-04-12,2023-04-15,2023-04-26,,2023-04-25,Royal Mail,uUq341416577
57984,789790,2022-02-28,2022-03-03,2022-03-09,,2022-03-05,UPS,NsJ644141281
76728,799893,2023-09-20,2023-09-22,2023-09-28,,2023-10-02,UPS,AFG226525943
74357,894197,2022-12-25,2022-12-27,2023-01-01,,2023-01-02,DHL,vtj084493126
35430,364581,2022-11-04,2022-11-05,2022-11-08,,2022-11-16,DHL,LcY655302416
32595,552682,2022-05-25,2022-05-27,2022-05-27,,2022-06-05,FedEx,LMw300313554
34632,828811,2023-10-02,2023-10-05,2023-10-06,,2023-10-08,Royal Mail,RNj476829837
16498,787083,2023-01-08,2023-01-09,2023-01-22,,2023-01-10,USPS,ksp136669611
56261,769061,2023-05-11,2023-05-12,2023-05-15,,2023-05-20,UPS,WiJ857729218
88753,317513,2023-10-27,2023-10-28,2023-11-01,,2023-11-10,Royal Mail,Oik071421285
40450,322990,2022-09-22,2022-09-24,2022-09-27,,2022-09-28,UPS,xmO800139564
10191,925174,2023-09-01,2023-09-02,2023-09-15,,2023-09-15,UPS,YmK941151165
38636,359128,2022-12-03,2022-12-04,2022-12-17,,2022-12-05,DHL,qQQ269420489
15804,882664,2022-04-08,2022-04-09,2022-04-15,,2022-04-13,UPS,Uie262802844
54272,485037,2023-09-01,2023-09-04,2023-09-11,,2023-09-10,DHL,trD704180962
16885,816887,2023-08-19,2023-08-20,2023-08-26,,2023-08-27,Royal Mail,szZ302957142
1061,832854,2023-08-19,2023-08-20,2023-08-26,,2023-08-29,UPS,Stj342348608
90286,858453,2022-01-21,2022-01-22,2022-01-23,,2022-02-02,DHL,mzO367147408
80955,761373,2022-09-19,2022-09-20,2022-09-25,,2022-09-21,FedEx,IUX411233666
52348,723244,2022-09-09,2022-09-10,2022-09-15,,2022-09-23,UPS,vxn383272709
69724,835115,2022-06-18,2022-06-19,2022-06-29,,2022-06-26,UPS,vEf689063802
14068,662219,2022-09-08,2022-09-09,2022-09-10,,2022-09-15,USPS,Wfu572601822
12073,558513,2023-04-29,2023-05-01,2023-05-07,,2023-05-15,DHL,eMm508094577
1844,445741,2023-03-27,2023-03-29,2023-04-08,,2023-04-09,DHL,JYQ394352722
84534,215986,2022-10-05,2022-10-06,2022-10-18,,2022-10-14,USPS,ECS757715496
78361,339084,2023-07-11,2023-07-13,2023-07-22,,2023-07-25,DHL,UJb268708457
30000,60560,2022-10-18,2022-10-19,2022-11-01,,2022-10-25,FedEx,gHY054156082
69808,961842,2022-02-08,2022-02-09,2022-02-13,,2022-02-15,USPS,aDD853843547
58855,178997,2022-09-23,2022-09-24,2022-10-06,,2022-09-25,USPS,vYA584948666
53019,828042,2022-10-04,2022-10-07,2022-10-11,,2022-10-13,UPS,Jsy427203055
76148,893571,2023-08-15,2023-08-17,2023-08-26,,2023-08-19,Royal Mail,wLE153103707
98797,687565,2022-09-13,2022-09-16,2022-09-21,,2022-09-19,DHL,CCH374555278
78680,445290,2022-08-27,2022-08-30,2022-09-09,,2022-09-07,DHL,ybw925743702
78009,315714,2022-08-24,2022-08-27,2022-09-01,,2022-09-05,Royal Mail,Wyu183181161
64573,234745,2023-08-19,2023-08-22,2023-08-28,,2023-08-25,Royal Mail,eyr425696688
51992,141510,2022-05-29,2022-05-31,2022-06-02,,2022-06-06,USPS,dXI551771717
22764,764797,2023-06-30,2023-07-03,2023-07-10,,2023-07-07,DHL,JDq748724444
34702,916448,2022-04-24,2022-04-26,2022-05-08,,2022-05-09,DHL,Gbr347918430
98955,531576,2022-11-06,2022-11-09,2022-11-10,,2022-11-11,FedEx,gpc276519021
28528,718110,2022-01-17,2022-01-20,2022-01-29,,2022-01-29,DHL,vDG267386059
20022,18292,2023-07-14,2023-07-15,2023-07-26,,2023-07-22,Royal Mail,drG907298321
47451,656824,2023-07-06,2023-07-09,2023-07-08,,2023-07-23,DHL,xiS689378314
96939,845567,2023-03-04,2023-03-06,2023-03-10,,2023-03-09,FedEx,Ayq610320833
31239,980967,2023-05-07,2023-05-10,2023-05-11,,2023-05-20,FedEx,sSz533368627
67083,607928,2023-11-26,2023-11-29,,,2023-12-06,UPS,dRc041802811
67374,361798,2022-05-09,2022-05-12,2022-05-21,,2022-05-21,Royal Mail,wpW506259860
98511,406720,2022-04-25,2022-04-27,2022-04-29,,2022-05-07,Royal Mail,czI286111532
53523,748495,2022-05-27,2022-05-28,2022-06-10,,2022-06-02,UPS,HGb056464546
91671,295278,2022-12-17,2022-12-20,2022-12-31,,2023-01-01,Royal Mail,NgQ420087552
75910,691626,2023-01-02,2023-01-05,2023-01-11,,2023-01-07,USPS,IGB313908908
5528,322665,2022-08-23,2022-08-26,2022-08-30,,2022-09-01,USPS,xSB785116308
27698,607615,2022-08-31,2022-09-02,2022-09-06,,2022-09-05,DHL,iOB275048166
34218,786646,2022-10-31,2022-11-02,2022-11-11,,2022-11-05,UPS,NDt710957919
16787,707467,2022-02-08,2022-02-09,2022-02-22,,2022-02-23,FedEx,Yra292635649
10050,220882,2023-04-10,2023-04-12,2023-04-16,,2023-04-15,UPS,gpD510545268
91791,717912,2022-03-03,2022-03-06,2022-03-16,,2022-03-14,DHL,vTy209176037
31036,507273,2023-07-14,2023-07-16,2023-07-24,,2023-07-17,Royal Mail,FXO808578879
58609,344451,2022-11-17,2022-11-18,2022-11-24,,2022-11-23,UPS,UGH086212612
4965,187632,2023-02-28,2023-03-03,2023-03-03,,2023-03-08,FedEx,oml702274131
43647,299890,2022-02-12,2022-02-14,2022-02-20,,2022-02-26,USPS,vFn700380799
56998,244001,2022-04-27,2022-04-28,2022-04-29,,2022-05-10,UPS,QOd706113270
47610,664294,2022-12-17,2022-12-20,2022-12-23,,2022-12-29,Royal Mail,qnH870938025
5372,864366,2022-01-10,2022-01-11,2022-01-14,,2022-01-23,USPS,xGR038359576
65443,145719,2022-08-05,2022-08-06,2022-08-12,,2022-08-09,Royal Mail,Zam536263404
57541,405560,2022-03-30,2022-04-02,2022-04-13,,2022-04-07,DHL,ocB238503017
34962,849332,2023-09-30,2023-10-03,2023-10-04,,2023-10-06,DHL,yUH606411891
74956,457976,2022-07-19,2022-07-20,2022-08-01,,2022-07-27,FedEx,uzZ199108706
59575,236869,2022-12-16,2022-12-17,2022-12-23,,2022-12-28,DHL,RzB690047273
70776,624832,2022-11-26,2022-11-27,2022-12-01,,2022-12-06,DHL,FKQ181495420
27816,3026,2021-12-07,2021-12-09,2021-12-13,,2021-12-17,UPS,ZMT255133972
47363,752524,2023-06-14,2023-06-15,2023-06-21,,2023-06-25,USPS,aKL429548569
38059,12701,2023-09-25,2023-09-28,2023-10-09,,2023-10-07,FedEx,sFG095609075
61899,410852,2022-07-11,2022-07-12,2022-07-19,,2022-07-13,UPS,ixQ358335316
92351,422932,2023-06-10,2023-06-13,2023-06-20,,2023-06-24,Royal Mail,UkG046631622
81310,811165,2022-04-26,2022-04-28,2022-04-29,,2022-05-07,Royal Mail,KYV570078226
81292,960401,2023-11-20,2023-11-21,,,2023-11-24,FedEx,nuV070732992
30975,461455,2023-04-07,2023-04-10,2023-04-12,,2023-04-14,UPS,gut093098229
74508,541128,2022-10-04,2022-10-07,2022-10-14,,2022-10-11,FedEx,zkt774026767
36258,668221,2021-12-16,2021-12-17,2021-12-29,,2021-12-29,UPS,UOs085436655
64438,452157,2022-06-12,2022-06-13,2022-06-21,,2022-06-18,USPS,PQo784210418
46078,535455,2023-09-20,2023-09-21,2023-09-29,,2023-09-30,FedEx,Vue083202391
95239,741268,2022-06-27,2022-06-30,2022-07-01,,2022-07-06,UPS,EBZ904253034
93221,504867,2023-04-29,2023-04-30,2023-05-11,,2023-05-01,FedEx,UDP127979636
84496,682226,2023-12-01,2023-12-02,,,2023-12-16,DHL,gTb733463407
96997,487116,2022-11-28,2022-11-29,2022-12-08,,2022-12-11,DHL,cIB363151210
78195,511556,2022-11-19,2022-11-22,2022-11-21,,2022-11-26,Royal Mail,jMH282906524
40988,173200,2022-03-18,2022-03-21,2022-03-31,,2022-03-31,Royal Mail,ZvV330255966
61297,60937,2022-09-02,2022-09-03,2022-09-13,,2022-09-17,DHL,eoG150123370
67627,203768,2021-11-25,2021-11-28,2021-12-07,,2021-12-08,Royal Mail,ToK372916929
850,761950,2023-02-02,2023-02-03,2023-02-07,,2023-02-09,DHL,Sdt165457992
32872,988809,2022-06-05,2022-06-08,2022-06-11,,2022-06-12,FedEx,yRw885707302
74811,271565,2023-07-07,2023-07-09,2023-07-17,,2023-07-13,Royal Mail,dVk656077170
92681,850125,2022-01-27,2022-01-29,2022-02-10,,2022-02-04,USPS,bzC631766282
91821,228534,2023-01-16,2023-01-18,2023-01-23,,2023-01-24,DHL,diw927482729
14714,381516,2022-12-01,2022-12-02,2022-12-08,,2022-12-13,USPS,lGU447074875
50594,8429,2022-05-06,2022-05-09,2022-05-15,,2022-05-23,Royal Mail,cAN760601761
13859,645225,2022-05-23,2022-05-24,2022-06-01,,2022-06-06,DHL,pcL189763518
26965,468486,2022-04-24,2022-04-26,2022-05-03,,2022-05-01,UPS,TFl000101403
79663,173230,2022-05-12,2022-05-15,2022-05-17,,2022-05-18,USPS,VVk269702623
99353,451462,2022-04-24,2022-04-26,2022-04-29,,2022-05-07,UPS,pUa658446992
21628,340122,2021-12-23,2021-12-24,2022-01-02,,2022-01-02,DHL,sZv055908800
28696,873904,2023-01-18,2023-01-20,2023-01-25,,2023-01-27,USPS,jDk733282319
19181,516791,2022-01-26,2022-01-29,2022-02-01,,2022-02-02,Royal Mail,OJx653173166
67406,934643,2021-12-12,2021-12-13,2021-12-19,,2021-12-24,Royal Mail,DxC650238477
71916,383373,2023-12-01,2023-12-02,,,2023-12-10,UPS,NqC483516859
27133,257355,2022-08-24,2022-08-27,2022-08-31,,2022-09-07,Royal Mail,Gkd309014120
28998,207779,2022-05-17,2022-05-19,2022-05-28,,2022-05-21,Royal Mail,iiC152901157
66730,215556,2023-02-22,2023-02-23,2023-03-03,,2023-03-09,FedEx,bVO794738999
69408,886883,2023-08-12,2023-08-15,2023-08-14,,2023-08-24,USPS,WMI556556620
74587,353979,2023-08-01,2023-08-03,2023-08-03,,2023-08-04,USPS,wzU638366689
11804,354703,2022-11-07,2022-11-09,2022-11-20,,2022-11-13,DHL,gTw200254337
63986,162681,2022-07-18,2022-07-20,2022-07-22,,2022-07-26,DHL,IeG424549970
20656,254843,2022-06-27,2022-06-29,2022-07-07,,2022-07-05,Royal Mail,jxM682167855
30918,976351,2022-09-29,2022-10-02,2022-10-09,,2022-10-07,USPS,SSE647527145
90022,360464,2022-01-18,2022-01-21,2022-01-25,,2022-01-24,FedEx,tCa375161948
15965,54031,2023-09-09,2023-09-11,2023-09-14,,2023-09-24,USPS,gea301603233
82827,294005,2022-06-01,2022-06-04,2022-06-15,,2022-06-15,UPS,lhd249084969
41394,243267,2023-11-01,2023-11-04,2023-11-14,,2023-11-13,DHL,GRh422218957
25172,619890,2022-12-30,2022-12-31,2023-01-08,,2023-01-07,FedEx,JAW722530783
15851,567679,2023-08-31,2023-09-03,2023-09-08,,2023-09-13,UPS,Kik444317384
52777,881235,2022-07-31,2022-08-02,2022-08-10,,2022-08-10,Royal Mail,yNu338426824
22213,3774,2022-12-04,2022-12-05,2022-12-09,,2022-12-18,DHL,Kzc450179457
49175,53315,2022-09-05,2022-09-08,2022-09-15,,2022-09-16,Royal Mail,BAy937799983
77540,55010,2023-09-28,2023-10-01,2023-10-02,,2023-10-11,Royal Mail,vKt734663878
62984,57000,2023-08-16,2023-08-17,2023-08-26,,2023-08-20,UPS,qza671649388
53076,67481,2022-08-10,2022-08-12,2022-08-22,,2022-08-18,Royal Mail,pXM753306463
89826,459983,2022-06-08,2022-06-11,2022-06-15,,2022-06-19,USPS,fiP406512507
89711,730582,2023-03-25,2023-03-27,2023-04-03,,2023-04-07,USPS,mym289184067
96802,734123,2023-01-22,2023-01-23,2023-02-02,,2023-01-28,FedEx,swQ352635226
48707,383612,2022-08-28,2022-08-30,2022-09-04,,2022-09-13,FedEx,pNA630237154
84480,22461,2023-07-13,2023-07-15,2023-07-15,,2023-07-21,USPS,rkh707310510
97176,239204,2022-08-05,2022-08-07,2022-08-09,,2022-08-20,DHL,Ulr167815642
34496,7619,2023-11-15,2023-11-18,,,2023-11-21,USPS,mXm976987090
57940,404108,2023-06-19,2023-06-20,2023-06-28,,2023-06-27,FedEx,IYu503085612
61553,927948,2023-06-10,2023-06-11,2023-06-14,,2023-06-16,DHL,jYC284107715
23844,585127,2023-11-01,2023-11-04,2023-11-03,,2023-11-15,UPS,Lyr203946650
56932,221507,2022-09-20,2022-09-22,2022-09-27,,2022-10-02,USPS,mAn232071816
38194,271146,2022-08-11,2022-08-12,2022-08-20,,2022-08-16,DHL,wxg937025694
14400,539108,2022-08-30,2022-08-31,2022-09-08,,2022-09-01,Royal Mail,xTH816093791
69392,908053,2023-07-19,2023-07-22,2023-07-24,,2023-07-23,UPS,VQP839210504
84961,298956,2022-02-16,2022-02-17,2022-03-02,,2022-02-20,USPS,VWV911290603
42252,701603,2022-12-06,2022-12-08,2022-12-13,,2022-12-13,FedEx,RuU942066086
15609,683399,2023-05-20,2023-05-21,2023-05-25,,2023-05-24,DHL,QQg393155542
96554,61948,2022-09-28,2022-09-29,2022-10-02,,2022-10-09,UPS,yCg317507296
70255,207723,2022-06-03,2022-06-05,2022-06-11,,2022-06-08,DHL,xCh376601541
96298,889507,2022-12-16,2022-12-18,2022-12-25,,2022-12-27,UPS,oXg269936936
54851,752372,2023-08-19,2023-08-21,2023-08-30,,2023-08-23,DHL,WEF213625511
51535,445699,2022-01-22,2022-01-23,2022-01-26,,2022-01-25,UPS,DDh629901038
91670,545762,2022-08-26,2022-08-27,2022-08-30,,2022-08-30,DHL,iFl995625465
80828,475688,2023-09-04,2023-09-07,2023-09-10,,2023-09-20,DHL,Hmy948825230
28269,116577,2022-12-12,2022-12-15,2022-12-24,,2022-12-21,FedEx,Hyn292754044
33568,265349,2022-05-07,2022-05-10,2022-05-14,,2022-05-24,UPS,Cpj259774041
49493,659301,2021-11-26,2021-11-27,2021-12-04,,2021-12-09,UPS,lVi662583011
91059,976210,2022-12-13,2022-12-16,2022-12-20,,2022-12-30,UPS,lLj937900518
99070,481427,2022-12-23,2022-12-26,2023-01-04,,2022-12-31,USPS,WwK205670459
82653,53420,2022-08-22,2022-08-23,2022-08-29,,2022-08-30,FedEx,aUE309546361
77856,832883,2022-01-07,2022-01-08,2022-01-15,,2022-01-19,UPS,rxs581010167
61896,302768,2023-07-16,2023-07-18,2023-07-22,,2023-07-23,FedEx,qfl978291012
98752,723043,2022-12-10,2022-12-12,2022-12-21,,2022-12-26,USPS,fsz027640808
54289,408229,2022-08-25,2022-08-26,2022-09-07,,2022-08-28,USPS,pHj713914038
57217,253317,2022-04-11,2022-04-13,2022-04-24,,2022-04-14,Royal Mail,FvF593065746
49759,808170,2022-01-02,2022-01-04,2022-01-12,,2022-01-11,UPS,YSj467790341
35814,168523,2023-03-16,2023-03-18,2023-03-21,,2023-03-29,DHL,Icz596657646
39065,844305,2022-03-28,2022-03-31,2022-04-08,,2022-04-14,FedEx,Pbz972549820
57294,623276,2023-02-17,2023-02-18,2023-02-28,,2023-02-24,FedEx,caf680622571
8070,349668,2023-09-06,2023-09-09,2023-09-17,,2023-09-16,DHL,PXv670145010
67021,833479,2023-04-23,2023-04-25,2023-05-04,,2023-05-07,UPS,gzM307815659
23065,715608,2022-05-30,2022-06-01,2022-06-13,,2022-06-06,FedEx,Swl670327500
7720,852051,2022-06-12,2022-06-14,2022-06-17,,2022-06-21,FedEx,hFE307054035
52263,648325,2022-09-04,2022-09-07,2022-09-13,,2022-09-10,UPS,QpL438069288
25150,900698,2022-03-04,2022-03-05,2022-03-08,,2022-03-13,FedEx,zkb298549182
26046,146338,2021-12-03,2021-12-06,2021-12-09,,2021-12-19,UPS,fwJ925397017
65340,824906,2023-05-22,2023-05-24,2023-05-25,,2023-05-31,USPS,Tjq351258047
47190,852844,2023-05-30,2023-06-02,2023-06-10,,2023-06-12,USPS,mvc427486966
38171,568347,2023-04-12,2023-04-14,2023-04-15,,2023-04-17,DHL,wVL857600029
47484,605042,2023-03-24,2023-03-27,2023-04-04,,2023-04-04,FedEx,CvC609127223
32569,128111,2023-08-15,2023-08-17,2023-08-19,,2023-08-29,Royal Mail,NlG008268067
28218,736830,2023-06-20,2023-06-22,2023-06-24,,2023-07-04,FedEx,wgj273448749
75001,963524,2023-07-24,2023-07-26,2023-08-02,,2023-07-28,UPS,URn835442075
20939,674001,2021-11-23,2021-11-25,2021-11-26,,2021-12-02,USPS,qzj744914609
15056,543885,2023-04-28,2023-05-01,2023-05-12,,2023-05-10,USPS,tSH258071835
8863,413764,2022-01-14,2022-01-15,2022-01-18,,2022-01-26,FedEx,aNK564789561
42013,538731,2023-01-04,2023-01-06,2023-01-07,,2023-01-07,DHL,zcg103020501
80638,724635,2023-07-31,2023-08-03,2023-08-07,,2023-08-05,Royal Mail,UCw842372263
63395,108630,2023-09-06,2023-09-08,2023-09-18,,2023-09-13,FedEx,XXm495867033
41341,593193,2022-12-11,2022-12-14,2022-12-24,,2022-12-24,FedEx,fiF281666464
63478,642642,2022-12-17,2022-12-20,2022-12-26,,2022-12-24,USPS,yta190879811
37703,557381,2023-07-12,2023-07-15,2023-07-18,,2023-07-17,FedEx,fRK586783724
98629,285856,2023-09-05,2023-09-06,2023-09-16,,2023-09-07,FedEx,lqv995103490
853,346606,2022-05-22,2022-05-23,2022-06-05,,2022-06-06,USPS,OmG551157227
68427,593185,2022-12-05,2022-12-07,2022-12-15,,2022-12-19,USPS,Cdm238436654
11836,662699,2021-12-08,2021-12-10,2021-12-10,,2021-12-20,UPS,dbZ679196478
84393,617452,2023-10-23,2023-10-25,2023-10-30,,2023-11-05,Royal Mail,Snk668448047
59793,209750,2023-06-30,2023-07-01,2023-07-13,,2023-07-07,FedEx,yAD044466812
8465,250712,2022-04-30,2022-05-03,2022-05-12,,2022-05-07,USPS,GYL055937532
85611,623765,2023-07-04,2023-07-06,2023-07-17,,2023-07-08,UPS,DqO097285548
47157,916588,2023-06-21,2023-06-23,2023-06-26,,2023-07-07,USPS,ESi055064283
