PaymentID,TransactionID,PaymentDate,PaymentMethod
27091,263121,2022-07-30,PayPal
78673,759390,2022-10-13,Debit Card
9877,381831,2022-05-31,Credit Card
18211,109995,2022-04-26,Credit Card
84399,550247,2023-09-19,PayPal
9713,979426,2022-11-05,Bank Transfer
48300,756018,2022-06-29,Credit Card
31399,935390,2022-01-16,Bank Transfer
59603,674183,2022-01-15,Gift Card
16027,589601,2021-11-28,Credit Card
61021,480885,2022-10-02,Debit Card
4679,741852,2023-02-18,Credit Card
21463,234100,2022-02-03,PayPal
95979,776467,2022-10-04,Bank Transfer
8870,808643,2021-12-13,Credit Card
87324,250396,2022-11-26,Gift Card
91177,724949,2022-05-22,Debit Card
37779,674337,2022-05-03,Credit Card
8935,788305,2023-08-25,PayPal
76904,299473,2022-07-24,Gift Card
16210,466143,2022-01-18,Gift Card
47904,786080,2023-12-25,PayPal
75829,47712,2023-05-08,Bank Transfer
16035,616268,2022-12-20,Debit Card
27996,442947,2022-02-04,Credit Card
30872,735894,2022-06-15,Credit Card
90075,138217,2022-01-16,Gift Card
38111,362199,2023-01-14,Credit Card
99279,386289,2022-01-08,PayPal
10302,803182,2023-02-13,Credit Card
95646,967822,2022-11-29,Debit Card
94473,993982,2022-03-19,Bank Transfer
91846,197125,2023-10-01,Bank Transfer
4661,516851,2023-10-21,Bank Transfer
98567,135897,2023-08-05,Gift Card
5018,562939,2021-11-28,Credit Card
94326,408106,2022-05-19,Bank Transfer
76583,183721,2022-03-07,Gift Card
11784,406371,2023-06-01,Debit Card
37878,278065,2023-06-24,PayPal
91498,444766,2022-11-30,PayPal
81381,340937,2022-01-22,Gift Card
50078,112809,2022-07-29,PayPal
35507,671952,2022-08-22,Gift Card
79257,153909,2023-04-10,Credit Card
66799,743027,2022-03-15,Bank Transfer
83094,966969,2023-11-18,Credit Card
44209,723670,2023-04-26,Bank Transfer
9617,512165,2023-01-26,Gift Card
97075,534826,2022-11-04,Gift Card
61134,914885,2023-01-21,Bank Transfer
7518,991846,2022-05-08,Gift Card
35406,727160,2023-10-21,Debit Card
30866,800636,2023-12-20,PayPal
53474,402271,2022-11-30,PayPal
11726,963754,2023-12-17,PayPal
14817,12439,2023-07-19,Credit Card
8286,121486,2022-11-22,Credit Card
36457,287624,2022-03-27,Gift Card
26149,241903,2022-08-10,Credit Card
45450,51253,2022-12-22,Credit Card
58551,574280,2022-07-15,Gift Card
15675,710645,2021-12-25,PayPal
80309,272885,2023-07-18,PayPal
67321,610302,2022-05-29,Gift Card
28873,25432,2022-08-23,Gift Card
13141,530723,2023-09-25,Credit Card
4299,444112,2023-06-05,Bank Transfer
32118,460683,2022-09-27,PayPal
84810,474851,2023-03-12,Credit Card
16367,434878,2023-01-28,Debit Card
807,945885,2022-08-17,Credit Card
95944,871168,2022-11-10,Bank Transfer
18812,76802,2021-11-27,Credit Card
54091,94107,2023-08-29,Bank Transfer
71056,778703,2023-09-13,Bank Transfer
20417,24240,2023-04-18,Debit Card
55847,337610,2023-04-23,Credit Card
95960,341912,2023-12-19,Bank Transfer
37884,697185,2022-07-08,Bank Transfer
45572,255035,2022-04-19,PayPal
32773,374470,2022-04-12,Gift Card
82196,677681,2022-10-01,Credit Card
47818,771380,2023-05-09,PayPal
76139,798819,2023-08-19,Debit Card
19033,113543,2022-03-01,Bank Transfer
87979,980889,2023-07-21,PayPal
8858,632883,2023-07-04,Gift Card
4663,708840,2022-09-02,Debit Card
94603,371476,2022-04-12,PayPal
6164,606639,2023-11-18,PayPal
76368,219510,2023-06-15,Gift Card
49358,941894,2022-05-26,Bank Transfer
15930,824393,2022-10-01,Debit Card
47393,612871,2023-03-30,Credit Card
64924,674152,2022-05-22,Debit Card
94834,313459,2023-12-19,Debit Card
62837,692450,2022-03-25,PayPal
41064,784239,2023-07-06,Bank Transfer
81052,529336,2022-08-13,Debit Card
75579,286022,2023-06-11,Credit Card
51501,187662,2023-01-17,Gift Card
64052,830799,2023-10-27,Gift Card
35543,749527,2022-08-26,Debit Card
63479,582700,2023-12-12,Gift Card
11686,202106,2022-10-24,Debit Card
92542,543427,2023-09-30,Debit Card
41718,85774,2022-02-19,Credit Card
15522,551959,2022-01-28,Bank Transfer
58153,288608,2023-09-24,Bank Transfer
74833,665652,2021-11-18,Debit Card
14441,93069,2021-12-13,PayPal
98737,723840,2023-01-29,Debit Card
32174,931045,2022-09-12,Credit Card
41883,104189,2021-11-21,Debit Card
81401,387036,2022-12-08,PayPal
67451,135766,2023-10-25,Bank Transfer
77835,379031,2022-06-30,Bank Transfer
86327,966836,2023-05-12,Debit Card
31981,281676,2021-11-22,Gift Card
30679,748379,2022-10-15,Gift Card
72979,116029,2023-01-21,Bank Transfer
8677,344295,2023-07-04,Bank Transfer
63186,952765,2021-11-19,Gift Card
15366,370732,2021-11-27,Bank Transfer
54368,148115,2023-01-01,Gift Card
36209,84512,2022-04-15,Credit Card
39410,597718,2022-11-04,Gift Card
7466,244715,2022-09-18,Bank Transfer
24146,679002,2023-02-22,Debit Card
69192,187636,2022-10-24,PayPal
12556,504455,2022-03-06,Credit Card
97371,365403,2022-02-07,Credit Card
78211,843411,2023-02-12,Credit Card
78790,786514,2022-06-11,Debit Card
72943,882068,2021-11-22,Bank Transfer
98201,737379,2021-12-21,Credit Card
46894,393279,2023-06-03,PayPal
83371,798625,2022-04-25,PayPal
80127,10530,2022-09-07,PayPal
37385,316949,2022-12-25,PayPal
7766,194979,2022-08-10,Gift Card
8572,455164,2022-07-04,Debit Card
60618,884316,2022-11-15,Credit Card
96999,222587,2022-01-25,PayPal
36157,143970,2023-10-05,PayPal
13699,416773,2021-11-28,Debit Card
48438,448837,2023-03-15,PayPal
17484,44021,2022-10-15,Bank Transfer
37447,592437,2022-11-03,Gift Card
41898,145585,2023-12-05,PayPal
30940,574511,2023-12-15,Bank Transfer
79171,241155,2022-04-14,Debit Card
78075,54646,2022-04-09,Credit Card
62661,781536,2023-06-14,Debit Card
65501,435080,2023-12-25,Debit Card
42057,803742,2023-03-21,Debit Card
62946,790303,2022-12-14,Gift Card
56504,446397,2023-06-08,Credit Card
52998,230838,2023-07-16,Credit Card
95923,58337,2022-07-05,Debit Card
80054,705703,2022-02-20,Debit Card
55575,265336,2022-06-25,Gift Card
86766,59683,2023-02-24,Gift Card
88370,469304,2023-12-13,Credit Card
10194,167831,2023-06-14,Credit Card
79996,644026,2022-06-28,Debit Card
65073,26087,2022-02-08,Gift Card
33661,131821,2022-08-25,Bank Transfer
75908,790212,2021-12-06,Debit Card
61862,217406,2022-10-05,PayPal
66273,868976,2023-08-07,Debit Card
63502,886493,2022-01-28,Gift Card
3659,80709,2022-03-01,Credit Card
89792,303634,2023-01-13,Debit Card
13709,187326,2022-01-11,Bank Transfer
20300,222540,2023-05-25,PayPal
35484,55674,2022-10-27,Debit Card
2525,533344,2023-10-17,Debit Card
35852,458580,2021-11-18,Credit Card
74545,995035,2022-12-11,Debit Card
51027,706904,2023-01-10,Bank Transfer
28975,853528,2022-06-21,Gift Card
4520,54627,2022-12-30,Credit Card
65075,562563,2022-04-02,PayPal
48534,647252,2022-01-04,Debit Card
65185,98903,2022-04-05,Credit Card
50672,94539,2022-03-31,Credit Card
29430,226398,2022-04-10,Credit Card
49942,738000,2023-05-17,Bank Transfer
98443,997788,2023-06-28,Bank Transfer
64948,962243,2023-01-05,Credit Card
14268,725892,2022-02-16,Debit Card
79898,770111,2022-04-21,Debit Card
84548,915656,2022-01-19,Gift Card
6828,225615,2022-04-14,Credit Card
26100,217663,2023-06-20,PayPal
44443,545027,2023-03-03,PayPal
19053,276869,2023-11-08,Credit Card
97577,789277,2022-10-09,Bank Transfer
71182,263078,2023-12-22,Credit Card
87588,723850,2023-01-02,PayPal
96375,941500,2023-08-16,Credit Card
33629,836506,2023-11-02,Credit Card
935,990209,2023-12-12,Credit Card
15493,327205,2023-05-06,Bank Transfer
49851,43574,2022-12-26,Credit Card
25473,495138,2022-03-15,PayPal
48861,926978,2022-08-27,Gift Card
7193,257352,2023-12-12,PayPal
43498,177732,2022-07-12,Debit Card
36012,991495,2023-01-19,Credit Card
6950,748481,2023-09-23,Gift Card
42272,635834,2022-09-05,Debit Card
56298,291774,2022-09-06,Credit Card
11921,43987,2022-08-16,Bank Transfer
37503,772228,2022-01-01,Bank Transfer
90817,453652,2023-10-25,PayPal
58385,831703,2023-08-15,Bank Transfer
84948,84659,2023-04-17,PayPal
10171,586742,2022-10-17,Gift Card
55743,602981,2022-07-09,Credit Card
83320,125823,2022-12-07,Credit Card
83664,428452,2021-12-27,Credit Card
53747,906291,2022-09-06,Gift Card
99394,345337,2022-09-24,Credit Card
25623,904604,2022-12-18,Gift Card
79635,10132,2022-05-24,PayPal
36331,410762,2023-07-05,Bank Transfer
73619,209734,2022-08-27,Credit Card
39016,673024,2022-02-09,Debit Card
74595,210354,2023-11-10,Credit Card
77106,787072,2022-01-14,Gift Card
14546,334056,2023-11-13,Credit Card
20422,445400,2022-09-19,PayPal
76154,116748,2023-07-17,PayPal
76296,69274,2023-08-04,PayPal
69302,652869,2022-04-09,Gift Card
84044,479077,2023-09-08,Gift Card
75796,692525,2023-10-17,Bank Transfer
85151,655642,2022-08-07,Credit Card
48542,389973,2022-06-29,PayPal
76818,313052,2022-07-14,Gift Card
37697,413783,2021-11-28,Bank Transfer
19474,938934,2022-06-08,Bank Transfer
70178,238512,2022-07-22,Credit Card
8770,432648,2022-09-14,PayPal
3463,302404,2023-01-26,Credit Card
21581,925431,2022-04-07,Bank Transfer
88045,917566,2023-12-11,Bank Transfer
24581,356003,2022-06-22,Gift Card
79287,141599,2022-09-11,Gift Card
96626,191108,2022-02-11,Gift Card
61996,795182,2022-12-08,PayPal
68601,871777,2023-02-13,Bank Transfer
60885,735432,2022-01-22,PayPal
17844,845703,2022-06-05,Credit Card
14787,933675,2022-03-10,Debit Card
13766,684123,2023-01-13,PayPal
75720,464667,2022-05-30,Gift Card
35156,783817,2022-07-07,Debit Card
10034,137595,2022-02-24,Credit Card
76561,182037,2023-11-18,Credit Card
95934,333906,2023-10-31,Gift Card
64798,377962,2022-04-27,Credit Card
28962,438162,2022-07-11,Gift Card
57161,41800,2022-07-17,Credit Card
24958,33806,2022-08-23,PayPal
716,252295,2022-02-27,Gift Card
22931,16622,2022-08-25,PayPal
84843,931122,2023-02-15,PayPal
45950,207899,2021-12-11,Bank Transfer
31836,509939,2023-10-11,Gift Card
97553,399436,2023-04-17,Bank Transfer
84942,73795,2023-10-12,Credit Card
17555,512785,2023-01-17,Bank Transfer
98192,133255,2022-11-23,PayPal
2643,609870,2022-04-14,Debit Card
20334,740721,2022-03-26,Bank Transfer
56391,373804,2023-04-28,Credit Card
69145,908138,2023-03-23,PayPal
69255,322941,2023-07-13,Bank Transfer
8510,232964,2022-07-21,PayPal
23208,109341,2022-05-06,Gift Card
6716,163384,2023-08-18,Debit Card
81870,868376,2023-03-10,Bank Transfer
98992,576444,2023-06-04,Gift Card
37575,515886,2023-05-19,Credit Card
32548,322195,2022-02-09,Bank Transfer
54842,307257,2023-08-12,Debit Card
71205,588918,2022-08-16,Gift Card
64446,787767,2022-02-01,Credit Card
19488,103266,2023-09-27,Debit Card
71816,614368,2022-10-13,Debit Card
63966,573225,2022-04-03,Gift Card
52990,485366,2022-04-16,Credit Card
57864,767497,2023-01-30,Gift Card
50453,807278,2021-11-21,Credit Card
1836,915797,2023-01-22,Debit Card
51413,902196,2022-07-05,Debit Card
96067,189311,2023-08-19,Gift Card
95592,125364,2023-03-17,Gift Card
15963,708300,2022-12-11,Bank Transfer
98897,839415,2022-07-26,Debit Card
48184,139391,2022-04-26,Debit Card
33714,726953,2023-11-19,Credit Card
58793,786386,2023-12-10,Gift Card
50303,323570,2021-11-23,Debit Card
21784,950220,2023-03-01,Gift Card
62543,977934,2022-11-20,Bank Transfer
97774,33916,2023-05-27,Gift Card
44688,836681,2022-02-04,Debit Card
7586,788918,2023-05-06,Debit Card
2534,180748,2023-08-01,Gift Card
71812,460036,2023-12-21,Debit Card
86131,59677,2022-10-11,Debit Card
32648,500016,2023-07-07,PayPal
68942,114524,2023-06-01,PayPal
37068,907748,2023-05-07,Gift Card
93258,854306,2021-12-31,Bank Transfer
42579,373101,2023-09-14,Gift Card
26485,638391,2022-11-15,PayPal
64949,751960,2021-12-20,Bank Transfer
49406,546703,2022-05-08,PayPal
85649,192054,2022-12-16,Bank Transfer
12621,263587,2022-05-26,Bank Transfer
63457,691662,2021-12-24,Bank Transfer
45226,98690,2023-07-24,Gift Card
95901,942436,2022-03-23,Gift Card
75761,87698,2022-03-06,PayPal
93839,71807,2022-12-26,Credit Card
34260,794581,2022-04-02,Bank Transfer
65862,163054,2023-06-20,Gift Card
19178,72077,2023-11-28,Credit Card
38245,793133,2023-06-17,Credit Card
96961,827432,2022-06-12,Credit Card
73917,249364,2023-05-28,PayPal
37495,964179,2022-07-08,Bank Transfer
48152,450680,2023-05-15,Gift Card
75868,181405,2023-03-18,PayPal
87778,246229,2023-08-01,Bank Transfer
52950,48491,2023-06-01,Bank Transfer
53623,995849,2023-03-07,Credit Card
75008,912887,2022-08-17,Gift Card
65194,515555,2023-04-22,PayPal
91991,365137,2022-05-04,Gift Card
68584,847944,2023-03-26,Bank Transfer
48258,754453,2023-12-16,Debit Card
42390,946696,2022-08-28,Credit Card
9388,763342,2021-12-25,Bank Transfer
76875,61337,2022-03-01,PayPal
51993,563119,2022-11-25,Credit Card
45854,425525,2023-12-16,Debit Card
18500,11123,2022-10-19,Credit Card
22617,988392,2023-01-30,Gift Card
92723,497699,2022-01-07,Credit Card
17882,861230,2023-04-16,Credit Card
54787,155717,2023-01-25,Debit Card
74844,440914,2022-01-26,Gift Card
10842,343837,2022-10-27,Gift Card
67696,124876,2023-07-07,PayPal
79063,73724,2022-06-14,Debit Card
72973,468859,2021-12-19,Bank Transfer
59411,606066,2023-05-15,Bank Transfer
80766,714436,2022-12-22,PayPal
24637,326414,2022-12-17,Gift Card
22044,163860,2023-05-26,Credit Card
70826,945430,2023-09-21,Credit Card
67471,632920,2023-09-17,Credit Card
28487,21246,2022-11-03,Gift Card
12755,794000,2022-06-04,Credit Card
75687,754936,2022-02-22,Credit Card
5604,604848,2023-03-28,Debit Card
93905,986463,2022-03-18,Debit Card
97436,527808,2023-05-25,PayPal
42245,855071,2023-10-06,Gift Card
54932,821346,2021-12-19,PayPal
91258,491941,2023-06-06,Debit Card
87352,537888,2022-10-10,Gift Card
45738,397009,2023-01-15,PayPal
34949,11833,2023-11-03,Credit Card
87033,956868,2023-10-26,PayPal
7058,807312,2022-08-18,Bank Transfer
61807,667919,2023-01-10,PayPal
68912,437225,2022-04-10,Gift Card
11553,332854,2023-10-18,Credit Card
55037,589334,2023-04-05,Gift Card
79940,164504,2023-09-15,Debit Card
72669,443041,2023-01-15,PayPal
98346,653358,2023-02-21,Bank Transfer
66839,319427,2023-09-07,Credit Card
10266,568708,2022-10-06,Gift Card
17090,52497,2023-02-05,Bank Transfer
74450,236232,2021-12-15,PayPal
3676,650393,2022-02-25,Debit Card
798,861698,2022-07-15,PayPal
10460,361347,2022-11-04,Credit Card
33830,564938,2021-12-27,Debit Card
87132,53248,2022-03-21,Bank Transfer
4737,225762,2023-12-03,Debit Card
48407,938752,2022-07-07,Credit Card
74630,635812,2021-11-28,PayPal
21279,453434,2023-03-30,Gift Card
7419,804398,2023-06-09,Debit Card
80267,389572,2022-03-09,Bank Transfer
35540,528245,2022-10-03,PayPal
81589,495180,2022-08-29,PayPal
85557,543431,2023-06-23,Debit Card
2685,414810,2023-11-02,Gift Card
99875,555818,2023-06-03,Credit Card
74558,895668,2022-05-01,Credit Card
16113,449629,2022-11-11,Gift Card
93482,884929,2022-11-25,Bank Transfer
24220,168294,2022-09-25,Bank Transfer
28630,452779,2023-05-23,PayPal
66456,985240,2023-11-13,Credit Card
51649,847821,2021-12-19,PayPal
30484,599634,2023-03-25,Credit Card
86042,571413,2022-02-04,Credit Card
51497,316281,2023-02-03,Gift Card
41434,920432,2023-01-04,Debit Card
56410,10552,2021-11-23,Gift Card
79429,441667,2023-02-16,Credit Card
79955,552071,2023-02-15,Gift Card
77394,915295,2022-01-24,Debit Card
84288,3300,2023-06-14,Credit Card
77491,595918,2022-03-04,Debit Card
27063,921783,2023-06-24,Credit Card
48676,117503,2023-07-16,Credit Card
24582,61246,2022-06-28,Debit Card
8216,497921,2022-10-04,PayPal
13840,500845,2023-05-13,Debit Card
83164,884769,2023-09-12,PayPal
26449,954998,2022-10-13,PayPal
8278,756426,2022-12-01,PayPal
79331,754689,2022-08-08,Bank Transfer
34522,296085,2022-12-24,Gift Card
45092,352808,2023-07-12,Credit Card
83488,464315,2023-06-20,Bank Transfer
17473,339593,2022-11-23,Bank Transfer
50328,542244,2022-08-24,Debit Card
98723,536044,2023-06-16,Bank Transfer
5844,352237,2023-11-19,PayPal
50689,184861,2023-09-28,Credit Card
91470,34517,2023-08-24,Debit Card
5993,945212,2023-12-10,Bank Transfer
52937,682332,2023-11-01,Credit Card
30920,916395,2023-08-01,Debit Card
72539,316960,2022-05-28,Bank Transfer
11348,51062,2023-05-25,PayPal
728,395178,2023-12-01,Debit Card
55419,162386,2023-10-03,Gift Card
86184,609357,2023-07-15,Bank Transfer
76265,292897,2022-03-29,Gift Card
57007,595565,2022-12-14,Credit Card
273,976186,2023-09-19,Gift Card
35423,665126,2022-09-05,Gift Card
1900,90224,2022-04-02,PayPal
67788,34812,2022-10-15,PayPal
11481,962118,2023-01-20,PayPal
7956,425460,2022-05-16,Gift Card
30479,436076,2022-02-12,Bank Transfer
54001,28875,2022-12-26,PayPal
15303,811354,2023-05-30,Debit Card
69823,107026,2022-10-17,Bank Transfer
41056,759494,2023-08-30,PayPal
68994,876742,2023-04-27,Debit Card
70987,701957,2022-01-26,Gift Card
84089,894164,2022-04-05,Debit Card
22956,641439,2023-11-27,Bank Transfer
47899,99343,2023-04-12,Debit Card
69385,467270,2023-01-27,Credit Card
94582,929498,2023-11-29,Bank Transfer
44137,316606,2021-12-24,PayPal
87264,544261,2023-03-06,PayPal
65330,205385,2023-03-21,PayPal
60250,898615,2023-10-29,Debit Card
73467,505043,2023-08-25,Debit Card
75172,565312,2022-01-07,Gift Card
43003,674855,2023-08-11,PayPal
25769,784702,2022-09-22,Bank Transfer
74865,836698,2022-09-25,Debit Card
56195,530555,2022-12-28,Credit Card
7246,171807,2021-12-02,PayPal
96301,423408,2023-09-02,Credit Card
91926,972847,2023-06-16,Gift Card
58455,58430,2022-04-15,Debit Card
45454,993131,2022-02-23,Bank Transfer
90884,294841,2023-06-13,Credit Card
55908,823671,2022-09-26,Credit Card
7008,742596,2023-07-01,Bank Transfer
27674,854656,2021-12-25,Bank Transfer
35348,166269,2023-08-29,PayPal
41966,737150,2022-12-04,Credit Card
13093,593760,2021-12-08,PayPal
19225,463564,2023-05-23,Debit Card
39577,211728,2022-07-21,Gift Card
35214,436387,2021-12-19,Bank Transfer
96778,590851,2021-12-22,Gift Card
8202,637970,2021-12-21,Gift Card
2018,44474,2023-07-28,Debit Card
55934,924414,2022-12-03,Debit Card
67355,844217,2023-04-08,PayPal
9660,398354,2022-09-13,PayPal
55333,767565,2022-10-11,Credit Card
4205,334051,2023-02-23,Gift Card
6262,191983,2023-01-30,Gift Card
18781,549557,2022-05-05,Gift Card
93322,839727,2022-05-01,Gift Card
12570,598158,2023-08-27,Credit Card
46166,616329,2023-05-16,Credit Card
96970,435618,2023-02-07,Gift Card
5199,982963,2023-08-20,Credit Card
95475,619355,2022-06-19,Debit Card
67514,745403,2021-12-23,Bank Transfer
89653,366482,2023-03-31,PayPal
97297,177226,2023-07-28,PayPal
37201,621779,2023-01-23,Gift Card
95790,268440,2023-12-08,Gift Card
93022,727033,2023-07-31,Debit Card
80709,467169,2022-08-06,PayPal
76222,833744,2023-02-03,Debit Card
40948,409185,2023-05-29,Debit Card
67484,190258,2023-05-09,PayPal
62390,470134,2022-12-23,PayPal
53794,427575,2023-12-09,Debit Card
5889,597822,2023-10-03,Gift Card
49943,5606,2023-06-29,PayPal
60062,466686,2021-12-03,Debit Card
12786,306734,2022-12-27,PayPal
15938,634098,2022-01-25,Debit Card
85108,722789,2022-11-30,Debit Card
40557,881818,2023-07-25,Gift Card
37150,722621,2022-04-13,PayPal
10666,101612,2023-06-03,Bank Transfer
42518,216809,2023-04-11,PayPal
9763,746264,2022-08-14,Gift Card
44095,363164,2023-11-25,Credit Card
64535,58703,2023-07-08,PayPal
51446,223576,2023-01-20,Gift Card
67476,257100,2022-12-22,Credit Card
59797,743921,2023-04-11,Credit Card
46093,571814,2023-10-21,Credit Card
84195,463519,2022-09-07,Gift Card
94652,999063,2023-10-10,Debit Card
83945,341747,2023-03-29,PayPal
66043,912519,2022-08-05,Bank Transfer
30770,66223,2022-05-21,Debit Card
31738,379373,2023-08-09,Credit Card
56641,972262,2023-09-02,PayPal
75916,898502,2022-12-10,Credit Card
47011,459100,2022-01-30,Credit Card
95920,874788,2023-11-01,Bank Transfer
16021,854469,2022-12-18,Gift Card
98898,79313,2023-01-14,PayPal
1694,332164,2022-11-16,PayPal
90243,443254,2022-01-25,Bank Transfer
31183,166587,2023-10-29,PayPal
95564,990911,2022-09-25,Debit Card
13488,848786,2021-12-25,Gift Card
4276,772842,2021-12-20,Credit Card
13360,106299,2023-04-03,Gift Card
94838,474147,2022-06-13,Gift Card
53306,227571,2023-10-19,Debit Card
81037,631945,2022-12-15,Credit Card
16213,5938,2023-03-04,Gift Card
19584,82449,2023-10-17,Gift Card
91433,245052,2021-11-26,Debit Card
3548,481709,2022-12-27,Debit Card
30264,940592,2021-12-28,Debit Card
35786,951357,2023-10-08,Credit Card
53607,923355,2023-04-24,Debit Card
47865,264666,2023-06-22,Debit Card
65512,346066,2022-11-03,Gift Card
43844,243845,2023-01-22,Gift Card
36891,357515,2022-03-02,Debit Card
72925,883831,2022-12-22,Credit Card
72367,184875,2023-05-12,PayPal
57409,551119,2022-06-10,PayPal
32152,184896,2022-06-29,Bank Transfer
12373,861620,2022-09-04,Gift Card
12586,297927,2022-09-18,Bank Transfer
95013,111019,2022-07-05,Bank Transfer
2153,443509,2022-11-12,Credit Card
21,85913,2023-09-09,PayPal
25629,709625,2023-01-19,Gift Card
53985,374066,2022-09-09,Debit Card
92412,155683,2022-11-07,Debit Card
96903,108570,2022-03-18,Bank Transfer
98100,653462,2021-12-16,Credit Card
88407,686029,2022-03-26,Credit Card
47173,922331,2022-05-28,Debit Card
23338,579083,2022-07-10,Debit Card
5263,293472,2023-06-25,Gift Card
90636,483824,2022-12-14,Debit Card
19878,913132,2022-03-08,Credit Card
44352,314239,2023-07-25,Bank Transfer
79164,974611,2023-11-17,PayPal
93761,311880,2022-10-21,Credit Card
59075,957023,2022-10-20,PayPal
16886,144092,2023-01-09,Bank Transfer
83394,647907,2023-04-07,Bank Transfer
93706,948215,2021-11-21,Debit Card
65256,629885,2022-10-15,PayPal
23010,354049,2023-11-02,Debit Card
85039,654189,2022-04-11,Bank Transfer
4470,626851,2022-08-15,Bank Transfer
98997,650450,2022-06-30,Credit Card
93061,523102,2021-12-22,Gift Card
10035,633897,2023-08-15,Credit Card
93312,552396,2023-08-03,Bank Transfer
61377,959331,2022-08-17,PayPal
81025,73294,2023-11-26,Bank Transfer
73376,370532,2022-07-17,PayPal
20018,111367,2022-08-02,PayPal
65982,426883,2023-07-05,Credit Card
49124,50995,2022-05-31,Gift Card
80251,526970,2023-03-15,Bank Transfer
89415,892066,2023-12-10,Debit Card
43108,251410,2023-06-02,Bank Transfer
84859,991358,2023-08-22,PayPal
75871,996485,2021-11-23,PayPal
9330,845713,2023-06-08,PayPal
46891,931709,2022-10-24,Gift Card
53198,40565,2023-03-19,Debit Card
30763,25746,2022-08-27,Bank Transfer
89535,949524,2023-09-06,PayPal
74030,455093,2023-01-05,Gift Card
89283,639180,2023-08-20,Debit Card
81927,334687,2022-04-16,Bank Transfer
55425,21781,2023-08-01,Credit Card
57796,698868,2023-06-22,Credit Card
22795,521640,2023-09-18,Gift Card
17315,464880,2022-02-09,Bank Transfer
78214,908099,2022-05-10,Bank Transfer
61864,745130,2022-05-22,Credit Card
87749,672712,2023-02-18,PayPal
14258,390803,2022-07-02,Debit Card
31562,692669,2022-10-25,PayPal
46266,598987,2022-10-18,Credit Card
34928,862530,2022-04-26,PayPal
90110,656065,2023-11-29,Gift Card
26496,332821,2023-10-30,Bank Transfer
24469,297780,2022-03-14,Gift Card
10776,142283,2022-03-09,Credit Card
70611,152995,2023-04-14,Gift Card
23937,480669,2023-08-24,PayPal
94367,129801,2023-09-28,Bank Transfer
20725,799489,2023-03-29,Debit Card
3260,815260,2022-05-25,Debit Card
9326,869003,2023-02-14,Credit Card
34940,339974,2022-08-31,Debit Card
76611,78918,2022-09-07,Debit Card
42046,844682,2022-01-26,Gift Card
21212,133490,2023-09-29,Debit Card
97152,454864,2022-07-27,Bank Transfer
56535,562342,2022-04-14,Credit Card
96117,820996,2023-09-22,Credit Card
40879,231397,2023-02-01,Credit Card
66013,620625,2022-07-30,Credit Card
82125,713381,2022-06-30,Credit Card
8149,447672,2021-12-12,Credit Card
9127,246443,2023-04-05,PayPal
1700,919160,2022-04-27,Credit Card
55115,214618,2022-07-18,Bank Transfer
11184,310448,2023-02-12,PayPal
19424,5452,2023-08-26,Debit Card
67594,681162,2022-03-24,PayPal
45977,814454,2023-11-23,Bank Transfer
40415,361337,2022-11-08,Credit Card
61616,401849,2022-12-24,Debit Card
44178,65969,2022-10-24,Credit Card
32555,435585,2023-07-17,Debit Card
56028,765477,2023-04-09,Credit Card
84174,100075,2021-11-29,Debit Card
44931,582926,2023-06-19,Gift Card
68166,174202,2023-04-01,Gift Card
