ShipmentID,OrderID,ShippedDate,EstimatedDelivery,Carrier,TrackingNumber
33405,317238,2023-10-28,2023-11-05,Royal Mail,fWf638526739
60970,661639,2023-05-19,2023-05-24,DHL,VLn509002649
45116,890084,2022-10-09,2022-10-17,UPS,GoF690294920
14694,427902,2023-11-08,2023-11-20,FedEx,bzG981167428
57341,537555,2023-04-22,2023-05-01,Royal Mail,dKL930963101
14640,535865,2023-07-10,2023-07-14,USPS,NFn337172683
7025,139604,2022-07-10,2022-07-23,Royal Mail,WJz217122017
53305,518342,2023-07-16,2023-07-28,USPS,aoq588365577
42051,599521,2023-11-09,2023-11-13,FedEx,rqH944451553
13001,354217,2023-04-25,2023-04-27,DHL,Xxp459006537
49788,95093,2023-06-09,2023-06-15,FedEx,Kqi276223170
66301,844160,2023-01-19,2023-01-21,DHL,Kae304003037
14955,662121,2022-10-29,2022-11-03,USPS,sSj700025613
4871,979664,2023-04-14,2023-04-19,FedEx,ZqC203274791
73465,230223,2023-09-21,2023-09-27,FedEx,xrM188134657
44098,747342,2023-08-19,2023-08-31,DHL,SFN535916848
34594,230223,2023-09-05,2023-09-16,FedEx,FQT001602740
32029,895844,2023-10-22,2023-10-25,DHL,lNy293838534
3207,900838,2022-04-11,2022-04-22,Royal Mail,yWK106706767
26002,568196,2022-08-29,2022-09-05,UPS,GYN618245666
84596,809637,2023-06-05,2023-06-16,FedEx,qpr904112825
58998,603200,2022-11-21,2022-11-27,DHL,GNK930685971
521,654963,2023-10-22,2023-11-04,UPS,Dhm653202721
49401,929067,2023-09-16,2023-09-24,UPS,AoJ841367100
5478,811179,2023-09-23,2023-09-27,DHL,Lur780934996
75210,214298,2023-06-27,2023-07-06,FedEx,RcK746442850
33286,889948,2022-08-25,2022-09-03,USPS,gcp634249250
48219,625235,2022-12-26,2023-01-04,Royal Mail,XoT971608486
89011,139564,2023-05-10,2023-05-12,USPS,tTU764067467
95201,294256,2023-10-20,2023-10-28,DHL,JAd918827488
54397,370261,2022-01-13,2022-01-23,UPS,WaO288998419
61186,938432,2023-08-06,2023-08-18,Royal Mail,Udd262824910
39891,132423,2023-01-16,2023-01-28,UPS,CHh502795393
84693,678015,2023-06-06,2023-06-13,UPS,RVq866335340
591,748561,2023-09-09,2023-09-20,DHL,mzL745548938
76813,16987,2023-09-14,2023-09-15,USPS,Twd811014638
25403,527108,2023-11-10,2023-11-12,USPS,pEj460754615
93810,254728,2023-09-25,2023-09-28,FedEx,dlj768541543
84123,855637,2022-05-27,2022-06-07,UPS,gTW851203427
94932,762420,2023-07-27,2023-08-02,UPS,VYo247082425
20192,180027,2023-10-03,2023-10-14,Royal Mail,eVV750646878
93594,76899,2022-12-27,2023-01-04,DHL,AsI464329917
94840,104391,2023-07-20,2023-07-25,FedEx,unx514754705
85348,935839,2023-10-13,2023-10-19,Royal Mail,GoO738831939
55455,722957,2022-11-03,2022-11-11,Royal Mail,aCr140163196
47699,700491,2023-07-20,2023-07-31,UPS,dQv790326607
52648,340501,2022-05-12,2022-05-17,USPS,KBr094010755
50126,887041,2022-05-16,2022-05-26,UPS,uXf526432548
28483,96954,2023-09-27,2023-10-05,DHL,DrY340473395
50897,274498,2023-08-06,2023-08-13,DHL,cEr578125956
11150,40720,2023-05-07,2023-05-16,UPS,sMG697899560
6550,309737,2023-04-07,2023-04-11,DHL,hwT198381355
39898,62182,2023-10-13,2023-10-27,UPS,Jjt709419435
30571,607647,2022-12-28,2023-01-06,UPS,fdt424325653
26233,554420,2023-10-23,2023-11-05,UPS,vOJ710112308
88915,230623,2023-06-09,2023-06-16,FedEx,pOz196997806
88020,843946,2023-08-11,2023-08-23,Royal Mail,KJy113887276
28109,181471,2022-06-30,2022-07-02,UPS,NnW077964484
99461,256271,2023-04-14,2023-04-15,UPS,ZrC390568442
74659,306883,2023-10-17,2023-10-28,USPS,Drm081997203
22854,312494,2023-10-15,2023-10-25,UPS,nAb673311533
80932,897518,2022-12-31,2023-01-14,FedEx,ptN206856217
70823,399421,2023-08-01,2023-08-03,USPS,kzZ420662543
44738,746730,2022-09-30,2022-10-09,Royal Mail,dAK380290022
14750,180319,2023-07-20,2023-08-02,Royal Mail,ZeN346335697
83510,472282,2022-09-13,2022-09-26,FedEx,BTR502649933
30184,383650,2023-06-29,2023-07-04,USPS,pxA449165483
99050,199445,2023-07-13,2023-07-18,FedEx,iAe251877707
97772,210282,2022-11-20,2022-11-30,UPS,Oda409466240
35108,665277,2022-07-02,2022-07-05,FedEx,Lxw422097062
98210,85062,2022-03-15,2022-03-16,USPS,IZL311912521
45071,988784,2023-11-15,2023-11-22,DHL,bwL547775770
59535,719149,2023-07-05,2023-07-13,Royal Mail,Zlx070444763
33231,34058,2022-04-15,2022-04-21,FedEx,ENZ619687038
25430,86032,2023-04-17,2023-04-23,USPS,izd769861655
38608,836009,2022-03-03,2022-03-13,UPS,bwz809401928
70061,390511,2023-11-06,2023-11-10,UPS,eOK513546246
70846,288586,2023-06-09,2023-06-14,USPS,UYJ640007086
92912,55246,2022-11-25,2022-11-29,FedEx,vXA126187948
278,75066,2022-07-31,2022-08-08,Royal Mail,oTn189268137
66452,292283,2023-02-27,2023-03-12,UPS,prk467307540
32705,223977,2023-09-04,2023-09-09,UPS,Xyi857364692
49484,611430,2023-05-04,2023-05-18,DHL,otE233686892
18377,807484,2023-11-14,2023-11-20,DHL,Gdt157696785
10290,342192,2023-10-09,2023-10-20,FedEx,xcS356957511
70256,839493,2022-09-13,2022-09-14,FedEx,jjY280837786
68446,433295,2023-06-26,2023-06-29,Royal Mail,cCF819018035
46686,975089,2022-04-23,2022-05-03,USPS,XPU584870860
92633,583451,2022-11-04,2022-11-16,Royal Mail,PMq585954936
11017,843470,2022-09-29,2022-10-07,DHL,DJd110981608
97367,38167,2023-04-04,2023-04-09,USPS,RWZ115221541
81753,527670,2022-10-30,2022-11-02,DHL,XDt641492458
78950,973486,2022-11-20,2022-11-25,DHL,hvI382356032
39700,185165,2023-11-04,2023-11-18,DHL,Ypc838431619
38502,708444,2023-08-08,2023-08-21,UPS,hQj902874656
22625,660984,2023-07-26,2023-07-29,DHL,MUA490459408
53224,699429,2023-03-03,2023-03-06,USPS,fkd981321486
56547,471820,2023-07-25,2023-07-31,DHL,ecr622629055
53644,106346,2023-01-28,2023-01-30,FedEx,Htv099370758
18739,341589,2022-11-28,2022-12-12,FedEx,YQT635437913
70755,328610,2022-12-24,2022-12-29,Royal Mail,Soe369713587
92826,487262,2023-03-08,2023-03-12,DHL,SVx785756475
68464,759643,2023-06-19,2023-07-01,USPS,Jqm428589290
27824,667925,2022-06-22,2022-06-23,Royal Mail,fCb730637904
42209,380711,2023-10-30,2023-11-11,UPS,YPi650070078
68180,713089,2023-02-17,2023-02-26,Royal Mail,bog470127655
48326,484237,2023-09-30,2023-10-07,USPS,VDX072335646
62133,639733,2022-12-10,2022-12-15,USPS,Tca646070775
13071,604170,2023-10-16,2023-10-22,DHL,XKc516902547
21476,453810,2023-10-22,2023-10-24,DHL,fYj440947680
64889,519916,2023-09-13,2023-09-15,FedEx,Eoz562182676
43760,904212,2023-09-30,2023-10-10,FedEx,AzD427775342
46997,213692,2023-08-04,2023-08-11,DHL,gUE064452929
82030,102912,2023-10-24,2023-10-26,Royal Mail,cyv028253589
91999,907613,2023-09-06,2023-09-13,USPS,KyC286669752
53325,754109,2023-09-05,2023-09-19,DHL,Abe140414636
71404,797011,2023-02-15,2023-02-17,USPS,SGJ888044575
11636,517057,2023-11-16,2023-11-19,USPS,jmv834577241
85135,265602,2023-11-03,2023-11-07,Royal Mail,ZWl243752398
62083,157448,2023-11-03,2023-11-10,USPS,jfW394911375
78579,16987,2023-10-02,2023-10-13,UPS,PMn079548542
2324,833598,2023-11-15,2023-11-24,UPS,kdE955193972
30461,106816,2023-06-28,2023-07-04,UPS,fce629887038
31184,266158,2022-11-10,2022-11-18,Royal Mail,aMg459214663
93092,612160,2023-08-22,2023-08-24,FedEx,Skk150726400
83648,260634,2022-03-09,2022-03-19,Royal Mail,ROx226865354
22313,42352,2022-11-11,2022-11-15,FedEx,QsU576352295
1678,672098,2023-05-29,2023-06-09,FedEx,pzG840905205
6243,992310,2023-11-16,2023-11-28,DHL,SEK050731769
25163,155574,2023-04-12,2023-04-18,DHL,GIk197471024
78333,61419,2023-01-05,2023-01-12,UPS,Nul444254974
53948,879843,2023-07-23,2023-08-01,DHL,XOF903869686
73059,499071,2023-10-27,2023-10-31,Royal Mail,nBX123509440
62352,481573,2022-06-26,2022-07-07,FedEx,Elq976794668
63218,686086,2023-10-07,2023-10-20,USPS,NfJ568526353
81975,956807,2023-06-17,2023-07-01,DHL,wyx777947801
18612,309492,2023-10-14,2023-10-16,Royal Mail,TVc441292919
86425,966190,2022-03-31,2022-04-08,USPS,Itl824546096
56602,515457,2022-05-17,2022-05-18,UPS,mlP241869727
8404,789216,2023-04-22,2023-04-23,DHL,SEX756865092
13939,440304,2022-12-23,2022-12-30,USPS,fUA692236131
43015,954636,2023-08-04,2023-08-11,UPS,MAC619066127
44812,287390,2023-04-14,2023-04-26,UPS,zlw382906049
61581,805511,2022-09-22,2022-09-27,FedEx,LHy655573380
49701,116077,2023-04-11,2023-04-21,DHL,lIN968494946
69817,529191,2023-04-18,2023-04-23,Royal Mail,FLv688961738
92080,380357,2023-09-03,2023-09-04,FedEx,ZWo067393559
81917,506235,2023-11-16,2023-11-28,DHL,fVN584505659
97995,759717,2023-03-18,2023-04-01,DHL,xoT301897098
20231,139604,2022-07-07,2022-07-09,UPS,aJl492503920
58383,832534,2023-09-04,2023-09-15,DHL,IZV297598650
50792,346035,2023-07-21,2023-07-24,USPS,JXs771421243
62086,711129,2023-05-14,2023-05-16,DHL,oSK472721014
83015,662219,2023-10-26,2023-10-28,DHL,nxU417005644
48071,743731,2023-05-26,2023-05-29,Royal Mail,AKD501620981
11848,882916,2023-05-29,2023-05-31,FedEx,zWR945591702
85731,668020,2022-06-18,2022-06-20,Royal Mail,BLL270997053
58646,957996,2023-07-16,2023-07-28,USPS,wZS413352986
86539,118303,2023-07-27,2023-08-01,UPS,zgv413691304
56503,233109,2023-07-20,2023-07-31,FedEx,OKk475064523
9120,240438,2022-11-24,2022-12-04,Royal Mail,VUl290544477
13321,812099,2023-06-22,2023-06-28,USPS,WPx217236520
90416,841424,2022-05-15,2022-05-27,DHL,mRe021525836
19799,579806,2022-11-11,2022-11-17,UPS,ihr103425812
30020,431362,2023-10-23,2023-10-29,Royal Mail,JNZ190025296
92452,411597,2023-09-04,2023-09-14,DHL,mYj331650042
55948,771168,2023-04-29,2023-05-05,UPS,fxY452497547
73751,426423,2022-10-09,2022-10-19,USPS,JnD010574654
77373,570689,2022-10-30,2022-11-02,DHL,ada145822437
9510,344756,2022-07-27,2022-07-31,USPS,jxh258779232
34231,410061,2023-06-02,2023-06-10,DHL,teU346672613
22884,334084,2022-12-02,2022-12-07,DHL,orN490244238
43792,857172,2022-09-18,2022-09-20,UPS,eqV271996375
73421,608040,2022-10-25,2022-11-07,Royal Mail,NPL710199095
5864,758038,2023-05-02,2023-05-11,UPS,ATp732283140
95264,43299,2023-11-01,2023-11-12,FedEx,yPF950302222
9946,766446,2023-01-25,2023-01-26,Royal Mail,CVR963668600
17454,899958,2023-08-25,2023-09-02,UPS,aEj018162056
54547,258771,2023-08-10,2023-08-12,USPS,OYp128750687
85853,440247,2023-09-09,2023-09-10,UPS,fDt782239509
12216,160952,2023-01-15,2023-01-24,DHL,WnL884076536
79914,728725,2023-06-15,2023-06-27,USPS,OIb469032628
16821,341646,2023-01-04,2023-01-12,DHL,Ohz093577061
88958,288586,2023-03-23,2023-04-06,FedEx,Ypb215511267
33728,18318,2023-02-23,2023-02-26,UPS,bOF955804443
97216,210129,2023-06-09,2023-06-20,Royal Mail,GYB055306484
43826,929355,2022-08-21,2022-08-29,USPS,KWP629952897
27629,759717,2022-03-06,2022-03-18,UPS,Xkf523368899
35523,799364,2023-07-28,2023-08-07,Royal Mail,bnk866651859
18929,949056,2023-10-06,2023-10-19,FedEx,PTj745753174
3512,119281,2022-09-02,2022-09-11,FedEx,yXn053819753
65215,468094,2023-03-18,2023-03-26,DHL,Ygw382905116
4576,796715,2023-11-12,2023-11-24,USPS,OwQ783855025
79457,294256,2022-04-19,2022-04-25,Royal Mail,ROr323210287
19661,448244,2022-09-08,2022-09-12,Royal Mail,uny951118127
3828,653457,2023-11-05,2023-11-15,UPS,Oom461694900
1026,391218,2023-11-08,2023-11-18,FedEx,bgF240856309
79635,917890,2023-05-30,2023-06-10,FedEx,Gcg679408069
65081,711420,2023-10-22,2023-11-01,UPS,AZe681112614
95777,204439,2023-10-03,2023-10-08,DHL,CMr953807601
19440,120866,2023-11-12,2023-11-25,DHL,Odq260847581
28687,471756,2023-08-29,2023-09-08,USPS,fPR829695339
60922,474795,2023-07-25,2023-07-27,UPS,kgA925846578
84451,263946,2023-02-27,2023-03-09,UPS,CfY802818394
98495,317489,2022-02-20,2022-02-26,DHL,jIa558496917
60091,90245,2023-06-19,2023-06-20,UPS,EAk091600389
34914,798524,2023-11-15,2023-11-22,UPS,nwe829207329
67246,771295,2023-08-30,2023-09-06,Royal Mail,arB929405273
11183,475387,2023-09-27,2023-10-04,DHL,IHV516678116
34086,573801,2023-11-13,2023-11-17,DHL,YZu605187550
38271,83822,2023-03-12,2023-03-23,FedEx,mZN376224156
90916,352875,2023-08-29,2023-09-01,Royal Mail,Iht160223502
1348,475241,2023-06-12,2023-06-22,FedEx,DoT192513620
66061,107583,2022-10-18,2022-10-21,DHL,Lvq975779028
8504,875640,2023-06-25,2023-07-09,USPS,oXD267511781
69135,318688,2022-06-07,2022-06-12,USPS,QiH830745716
58767,672262,2023-02-20,2023-02-22,UPS,uQB122053460
99646,601967,2023-06-22,2023-06-27,UPS,QFs688580588
44520,703338,2023-10-23,2023-10-25,USPS,DGh358829245
36515,892393,2022-07-25,2022-08-07,UPS,vAi758455093
90012,264951,2023-10-29,2023-11-07,DHL,Bim082755276
46131,286803,2023-06-26,2023-06-27,FedEx,kkQ822566158
73340,818844,2023-10-17,2023-10-21,FedEx,Mzk744759445
24521,271565,2023-01-18,2023-01-29,DHL,HCS978843238
31231,333160,2023-10-31,2023-11-10,DHL,Qnd899804562
76307,75177,2022-10-22,2022-10-26,USPS,JfC830841323
39014,82372,2023-10-31,2023-11-14,UPS,QYX295047569
12241,412149,2022-08-05,2022-08-16,UPS,IDV974177307
30193,960992,2023-09-06,2023-09-13,DHL,aWa242870123
15965,83103,2023-11-14,2023-11-19,Royal Mail,wrS520516518
97998,401386,2023-03-28,2023-04-02,Royal Mail,iVW383113315
42384,319407,2023-09-21,2023-09-23,UPS,YLs558648145
12613,14107,2023-10-23,2023-10-26,FedEx,ilw298769734
89463,182099,2023-11-03,2023-11-05,USPS,FXZ284611454
84274,147017,2023-08-09,2023-08-14,FedEx,UkC630870407
66339,327203,2023-07-19,2023-07-24,UPS,HYD385748264
95063,51663,2023-01-25,2023-02-03,FedEx,HFM631688685
86926,977155,2023-08-14,2023-08-26,DHL,FTq957487696
17639,254139,2023-11-16,2023-11-27,FedEx,vqv892921131
37832,894957,2023-04-09,2023-04-14,FedEx,nkf243210747
11480,814767,2023-09-26,2023-09-28,FedEx,iNA298837376
31055,609944,2023-10-02,2023-10-14,USPS,QfR641967498
14193,354960,2023-09-15,2023-09-22,FedEx,fNq726487273
74085,129785,2023-06-25,2023-07-09,FedEx,qVI575558293
79488,791095,2023-09-07,2023-09-09,UPS,rfK999958534
70063,180286,2023-11-16,2023-11-20,FedEx,Ttf241108099
52061,227131,2023-09-30,2023-10-01,USPS,ItN124760820
14667,390871,2023-02-14,2023-02-18,UPS,BGp001140501
79681,678683,2023-09-12,2023-09-23,FedEx,AUN315735724
53301,997893,2023-10-13,2023-10-22,Royal Mail,ffN785890072
40376,182241,2023-01-16,2023-01-28,USPS,pXt205905596
43206,63832,2023-10-27,2023-11-03,DHL,hGm488632805
79463,809637,2023-08-05,2023-08-06,FedEx,RiO110246795
99510,237380,2022-04-29,2022-05-08,FedEx,spb006550414
42861,757202,2023-10-11,2023-10-20,USPS,jCY249350714
97297,374253,2022-12-02,2022-12-08,Royal Mail,cqA575753261
39032,914774,2023-11-03,2023-11-16,USPS,Hjq129751626
72761,631915,2023-02-11,2023-02-21,UPS,QqB296713166
44137,573801,2023-02-09,2023-02-13,DHL,Vgk080654525
82223,391374,2023-03-22,2023-04-05,FedEx,Zay585581566
36508,41428,2023-11-04,2023-11-11,FedEx,eQZ100892982
88465,552504,2023-09-14,2023-09-19,DHL,eqV503067050
59908,442451,2023-10-20,2023-10-30,DHL,Jqw483713009
54951,340122,2022-09-22,2022-10-03,Royal Mail,mFZ007888826
39300,261444,2023-11-01,2023-11-13,Royal Mail,nZB268758644
56056,211177,2022-05-21,2022-06-02,Royal Mail,old179386509
89702,490084,2023-10-26,2023-10-29,UPS,TYU418563745
92942,694655,2023-08-18,2023-08-28,DHL,EuX386716692
32474,980883,2023-04-28,2023-04-30,UPS,OrB608838862
64207,485005,2023-11-10,2023-11-19,USPS,qmh592113429
78632,94418,2023-10-23,2023-10-30,DHL,FhV809462664
93101,450015,2023-08-21,2023-08-28,UPS,Qmv047945330
482,109286,2023-03-01,2023-03-13,Royal Mail,diT283874308
20508,267996,2023-06-12,2023-06-24,FedEx,WXL714466451
76959,189176,2023-04-27,2023-05-09,DHL,wrA184711573
92301,792437,2022-05-12,2022-05-25,DHL,Kky139388767
15127,331015,2023-01-25,2023-01-26,FedEx,rOS099269136
50755,604947,2023-06-30,2023-07-02,USPS,QKp000905866
39298,422343,2023-08-09,2023-08-15,Royal Mail,jdV046993262
57813,4260,2023-10-31,2023-11-03,USPS,ivn730686348
661,921449,2023-06-24,2023-06-28,Royal Mail,yvb606228456
33041,418795,2023-07-19,2023-08-01,FedEx,PFL442859340
20128,688650,2023-08-20,2023-09-03,Royal Mail,Ian693342527
85923,891868,2023-10-13,2023-10-25,FedEx,Idn485506271
19904,637812,2023-03-14,2023-03-26,Royal Mail,rAc222598522
34907,522377,2023-10-15,2023-10-28,USPS,QKP078130041
89450,992310,2023-11-12,2023-11-20,DHL,pRX849555758
46024,996044,2023-09-06,2023-09-19,FedEx,uPA860989931
41263,63165,2023-08-08,2023-08-15,USPS,ATu390275828
55850,415604,2023-09-08,2023-09-18,USPS,RRM563409848
1493,423595,2023-09-16,2023-09-28,UPS,Aud585756290
4939,825429,2022-04-17,2022-04-18,USPS,Xid831139317
4811,704261,2023-09-13,2023-09-17,DHL,acu196805591
75917,146338,2023-09-19,2023-09-29,FedEx,gSC542473231
66434,344679,2022-11-11,2022-11-22,UPS,iMa886609824
45361,388532,2023-05-09,2023-05-13,Royal Mail,rYU538526166
93659,560028,2023-10-13,2023-10-26,DHL,bRU403193047
55345,681982,2023-11-08,2023-11-22,Royal Mail,SKr609617609
8550,515166,2022-10-16,2022-10-26,DHL,Qpu670509657
74366,563656,2022-04-03,2022-04-10,DHL,wNe865553784
73699,597365,2023-09-24,2023-10-08,FedEx,sDY654365939
17132,599521,2023-11-08,2023-11-14,UPS,QxG382746076
29717,902686,2022-06-23,2022-06-28,Royal Mail,xqR271182121
18889,101474,2022-07-14,2022-07-28,Royal Mail,JcY313274991
9957,850858,2023-07-24,2023-08-04,Royal Mail,lzF479425696
31197,961,2023-09-25,2023-09-30,FedEx,JZh924093709
61891,678683,2023-11-15,2023-11-18,USPS,nNI475535238
74806,281796,2023-10-24,2023-11-03,Royal Mail,mNl574054416
27135,444725,2023-10-30,2023-11-04,FedEx,vNG689648484
66630,572767,2023-10-22,2023-11-01,FedEx,KjR328693192
95448,372801,2023-09-17,2023-09-23,USPS,HnJ636437328
16364,257808,2023-10-31,2023-11-07,DHL,mXO787032504
52918,741504,2022-09-07,2022-09-21,UPS,doU777723455
92212,321588,2023-06-12,2023-06-26,USPS,NZx269523771
93717,70001,2023-10-01,2023-10-15,DHL,GJZ429624462
23967,697790,2022-03-31,2022-04-04,FedEx,pNL239738252
76564,607647,2023-11-07,2023-11-08,UPS,WmI292261595
70426,140123,2023-05-12,2023-05-15,Royal Mail,alN560911878
33225,975089,2022-08-13,2022-08-17,Royal Mail,eVJ395146858
40910,557325,2023-07-16,2023-07-27,USPS,Auv664644966
49383,697757,2023-05-08,2023-05-11,DHL,DrZ590875644
90566,796715,2023-10-14,2023-10-19,UPS,cHx496074741
51090,792757,2023-05-26,2023-06-03,FedEx,ezc268276996
66270,995037,2023-08-06,2023-08-13,USPS,efa129300401
38694,827883,2023-01-29,2023-01-31,FedEx,ZUp753736569
42255,292823,2023-02-05,2023-02-07,FedEx,IWq619145522
55763,356072,2023-09-21,2023-09-22,DHL,WCV615367889
40031,850515,2023-07-24,2023-08-02,DHL,Jwx896465889
24297,224247,2023-06-30,2023-07-04,UPS,Qiw170423662
64494,598083,2023-10-17,2023-10-23,FedEx,ltF960459691
97004,573899,2022-10-23,2022-10-25,FedEx,Gko918921629
49378,570017,2023-09-21,2023-09-23,USPS,Maw150014974
54852,879841,2022-09-01,2022-09-08,UPS,wXg235775278
95927,776575,2023-09-23,2023-09-28,Royal Mail,klO525854244
76568,769520,2023-07-03,2023-07-06,USPS,Guu357514436
16946,811386,2023-05-16,2023-05-17,DHL,wif701352147
22445,933449,2023-07-16,2023-07-18,Royal Mail,ews304037636
33297,626430,2022-07-03,2022-07-17,Royal Mail,pIH311812861
72696,105705,2023-04-12,2023-04-18,UPS,ady122487222
22941,124617,2023-05-23,2023-05-28,FedEx,pcH811722483
17759,895134,2023-08-13,2023-08-18,USPS,izB951700469
50476,54606,2023-10-25,2023-10-30,FedEx,sLM068024626
4348,947510,2023-10-25,2023-11-05,FedEx,eyb471260921
53889,133946,2023-10-12,2023-10-19,DHL,kxi197448355
41332,467275,2023-10-25,2023-11-03,USPS,JhW710734448
7915,120045,2023-10-01,2023-10-08,FedEx,hVD585654006
3240,517839,2023-03-15,2023-03-27,DHL,oCP502596751
81528,318354,2023-07-19,2023-07-20,DHL,ceY533173714
12716,919779,2022-12-05,2022-12-09,DHL,LvW103405300
16322,580686,2023-06-27,2023-06-28,USPS,HFD605280532
62967,874843,2023-01-04,2023-01-07,DHL,wCN432262079
64131,141745,2023-11-07,2023-11-08,USPS,jkU041989861
40952,113455,2023-08-03,2023-08-11,USPS,fIB849847168
15136,879786,2023-10-27,2023-11-05,UPS,iRH009130719
22330,851691,2023-10-31,2023-11-07,USPS,AQq838026535
63961,874843,2022-12-13,2022-12-25,UPS,BFm221164891
89963,277806,2022-10-20,2022-11-02,USPS,LJL565601943
76620,492006,2022-09-09,2022-09-10,Royal Mail,aWy958889345
92945,763323,2023-08-19,2023-08-29,DHL,Nfp539750736
56933,685707,2022-10-14,2022-10-19,Royal Mail,TEv490638844
71340,29452,2023-11-14,2023-11-15,USPS,bCg291085456
47542,664944,2023-09-08,2023-09-09,Royal Mail,WzR770386697
89282,278734,2023-06-10,2023-06-12,DHL,EdU035231712
68722,60910,2023-04-17,2023-04-23,FedEx,fmm789458058
40669,382221,2023-08-25,2023-08-31,Royal Mail,van536543229
39947,978670,2023-06-25,2023-06-27,DHL,ZoR113494911
54048,140123,2022-10-26,2022-11-07,UPS,Goa397412172
68107,700491,2023-08-28,2023-09-02,DHL,ZbZ530623444
97036,18978,2023-01-21,2023-02-03,DHL,bUk111667979
78792,78960,2022-07-14,2022-07-19,DHL,esz796090799
49835,628570,2023-04-28,2023-04-29,UPS,dTZ285979543
653,594614,2023-11-14,2023-11-17,FedEx,ZDw880533813
26542,422999,2023-08-28,2023-09-01,Royal Mail,tEJ836060193
67569,291692,2022-12-17,2022-12-26,UPS,bYq321386856
2470,741106,2022-07-19,2022-07-20,Royal Mail,Sjf528697826
94132,312387,2023-09-02,2023-09-04,Royal Mail,TiF986007194
71549,372624,2023-10-04,2023-10-17,FedEx,FrC049594766
47309,553620,2022-09-30,2022-10-09,UPS,dOz461018435
6502,361498,2023-06-10,2023-06-18,Royal Mail,uhR983566362
38976,203806,2021-12-27,2022-01-04,Royal Mail,Kxk964330917
3178,338532,2023-06-08,2023-06-13,FedEx,IvT837030115
91371,80472,2023-11-11,2023-11-24,DHL,vtn703514172
56871,445386,2023-09-20,2023-09-27,DHL,EQK619977976
14699,916611,2023-07-09,2023-07-18,USPS,vvZ354227223
47339,491068,2022-09-07,2022-09-18,FedEx,DZs531415963
77321,438529,2023-11-16,2023-11-29,FedEx,xmG212787633
26005,89542,2023-04-30,2023-05-11,Royal Mail,nkF489731144
3921,972402,2023-08-10,2023-08-12,Royal Mail,Icw016974354
87410,700431,2023-02-04,2023-02-18,FedEx,ayp029839052
28338,491190,2023-11-07,2023-11-13,FedEx,fFX699078451
94023,73916,2023-02-13,2023-02-15,USPS,OCX643810509
68811,436942,2023-09-29,2023-09-30,Royal Mail,cbA792859529
94624,172222,2023-03-09,2023-03-10,USPS,rBe208753017
25830,107583,2023-09-28,2023-10-09,USPS,JLL146902461
39593,681982,2022-12-07,2022-12-13,UPS,JyP755240204
99667,101585,2023-01-26,2023-01-27,UPS,Bye569289104
48962,496889,2023-09-17,2023-09-19,USPS,Whq442432943
55971,274498,2023-08-12,2023-08-13,FedEx,IEv536912743
36724,111220,2023-11-05,2023-11-12,USPS,QVC232934537
