PaymentID,OrderID,Amount,PaymentDate,PaymentMethod
49121,534631,960.09,2023-09-23,PayPal
75180,872282,3150.04,2023-09-19,PayPal
93726,180513,489.13,2023-03-04,PayPal
333,480323,2991.37,2022-09-01,Debit Card
26069,752673,2754.17,2022-09-06,Credit Card
56808,668589,2624.62,2023-04-03,Gift Card
80013,843601,3514.59,2023-10-20,Credit Card
36937,409914,906.18,2023-06-17,Bank Transfer
86028,503897,3921.19,2023-06-21,Bank Transfer
20768,861671,4339.54,2023-06-16,Debit Card
48720,749492,950.8,2023-08-26,Credit Card
85162,899858,1427.01,2023-05-03,Credit Card
61750,637510,2478.83,2023-09-20,PayPal
64891,95770,2494.3,2023-03-17,Debit Card
73302,150421,2486.4,2023-11-03,Credit Card
23901,983484,4449.34,2023-11-04,PayPal
58893,447803,383.07,2023-09-25,PayPal
38278,41888,3483.78,2023-02-14,Debit Card
77056,214727,1857.6,2023-11-14,PayPal
59130,435416,4068.8,2023-10-20,Credit Card
64838,507160,2719.51,2023-08-19,PayPal
24082,177729,534.2,2023-07-11,Credit Card
65265,213849,1430.75,2023-11-15,Credit Card
88051,15612,676.4,2022-11-30,Gift Card
30909,138410,1173.37,2022-09-28,Credit Card
87888,935132,2658.21,2023-02-04,Credit Card
10771,155994,519.64,2023-09-15,Credit Card
45684,108802,3478.22,2022-03-02,PayPal
95388,894278,256.55,2023-07-02,Credit Card
97271,581397,4036.66,2023-06-21,PayPal
26117,459223,2473.98,2023-08-21,Gift Card
5025,348502,3163.49,2023-01-18,PayPal
20064,702566,536.96,2023-10-13,Credit Card
37556,562293,3880.95,2023-01-30,PayPal
80293,165188,4696.02,2023-10-27,Credit Card
80935,505064,1990.19,2023-11-14,PayPal
57553,312878,4675.99,2023-10-11,PayPal
14407,480819,1282.93,2023-11-07,Bank Transfer
97576,933004,2113.11,2023-07-08,Bank Transfer
23412,990596,1624.74,2023-08-30,PayPal
50457,154456,3212.58,2023-08-06,PayPal
15275,250819,4242.05,2023-09-20,Bank Transfer
85758,945835,596.55,2023-04-27,Bank Transfer
9467,725707,1313.69,2023-04-18,PayPal
77063,683721,3067.64,2023-02-08,Gift Card
39643,639821,2015.61,2022-07-03,Bank Transfer
1663,175764,3705.12,2022-10-07,Gift Card
91353,180034,2738.65,2023-08-10,Gift Card
37411,149231,2614.98,2023-06-22,PayPal
14410,72629,4733.14,2023-07-30,Credit Card
85608,466880,306.64,2023-08-02,Gift Card
54380,350218,3586.54,2022-10-28,Bank Transfer
86110,830320,2698.04,2023-02-15,PayPal
64769,483410,555.5,2023-05-25,Credit Card
33259,997957,3648.09,2023-03-05,Credit Card
1085,129965,2390.53,2023-09-22,Debit Card
5504,981216,4193.72,2023-11-08,PayPal
3950,159370,578.65,2022-12-27,PayPal
40740,191530,3040.75,2023-08-08,Gift Card
12575,374253,4169.53,2022-10-26,Debit Card
44295,813629,390.2,2023-02-01,Bank Transfer
84776,912343,933.96,2023-10-16,Gift Card
34406,332979,4364.29,2023-03-29,Credit Card
75967,455280,2455.79,2022-01-18,Gift Card
3812,910785,1828.08,2023-10-18,Credit Card
86288,70352,4361.56,2023-10-03,Debit Card
2094,166710,716.31,2023-03-06,PayPal
14321,759945,1104.24,2023-07-25,PayPal
81979,48980,4634.89,2023-11-01,Gift Card
29048,102632,4309.26,2023-11-09,Bank Transfer
39694,252615,4947.37,2022-11-21,Bank Transfer
43537,989576,3673.54,2023-03-28,Debit Card
58185,925805,3429.21,2022-03-23,Bank Transfer
76966,285025,904.25,2023-02-06,Debit Card
78030,105824,3389.98,2023-02-12,Credit Card
52421,461886,1755.05,2022-06-14,PayPal
48003,94779,4384.66,2023-04-20,Debit Card
49733,893796,1792.81,2023-09-23,Credit Card
99214,878684,4907.66,2023-10-07,Bank Transfer
88652,983325,3860.12,2023-10-23,Bank Transfer
68135,666801,4152.25,2023-10-06,Credit Card
86692,161723,356.2,2023-10-16,Credit Card
29014,321018,3787.65,2023-05-28,PayPal
10724,656848,2054.98,2023-09-29,Gift Card
11111,160575,2541.29,2023-08-19,Bank Transfer
82286,406111,4997.32,2023-02-03,Debit Card
4704,228347,2921.05,2023-11-11,PayPal
29752,327261,1533.77,2022-01-21,Debit Card
24656,662731,4084.18,2023-06-08,Debit Card
4850,843307,4745.46,2023-07-18,PayPal
66026,840049,4688.4,2022-08-02,PayPal
46836,91741,363.58,2023-01-11,Gift Card
99245,167934,4468.41,2023-08-24,Credit Card
59047,351276,1568.17,2023-08-15,Credit Card
70473,565122,1598.97,2022-03-19,Bank Transfer
75804,975089,2639.49,2022-11-19,Bank Transfer
54085,409170,1331.83,2023-08-06,Debit Card
77421,918030,1293.45,2023-04-30,Gift Card
18671,170185,3446.72,2023-11-14,Debit Card
93420,880004,2447.12,2023-05-16,Bank Transfer
70743,174628,1843.86,2023-06-15,PayPal
117,455671,2592.52,2023-01-05,Credit Card
3733,261027,1632.67,2023-10-21,Gift Card
40835,39704,4864.55,2022-12-11,PayPal
60310,602997,2171.44,2023-11-08,PayPal
73638,35994,4923.26,2023-09-14,Credit Card
52289,337661,1836.25,2023-08-19,Bank Transfer
34244,450803,2498.05,2023-11-07,Gift Card
53050,382641,4278.15,2023-09-12,Bank Transfer
17286,507547,4386.12,2023-04-18,Gift Card
42203,466347,3838.23,2023-07-24,PayPal
39072,682428,3131.39,2022-04-21,Debit Card
56319,146842,61.13,2023-11-07,Bank Transfer
99077,558599,4882.22,2023-10-31,Debit Card
14978,823479,797.99,2022-11-11,PayPal
20461,493162,3378.55,2022-11-14,Gift Card
84618,813329,1817.22,2022-09-20,PayPal
75140,517300,3578.98,2022-09-06,Credit Card
47375,215037,936.07,2022-11-04,Credit Card
36655,233689,2056.43,2023-05-22,Credit Card
13614,263727,4983.76,2023-07-24,Debit Card
5992,172829,3278.21,2023-09-20,Bank Transfer
27841,96789,3814.73,2023-03-28,Debit Card
11915,517835,4349.76,2023-03-23,Bank Transfer
11617,728404,2271.03,2023-07-17,Credit Card
20054,982493,3079.61,2023-11-15,PayPal
25648,333589,377.14,2023-09-17,PayPal
20414,30299,3155.21,2022-06-03,PayPal
66332,376887,1770.35,2023-11-05,PayPal
64530,887139,4142.8,2023-09-07,PayPal
27407,71478,2772.87,2023-07-18,Gift Card
91917,152671,4357.33,2023-10-17,Bank Transfer
57371,492006,3478.59,2023-06-29,Credit Card
47186,27767,2482.33,2023-10-28,Gift Card
82768,822131,1073.69,2023-08-25,Credit Card
91252,641523,2164.32,2023-06-15,Gift Card
74728,149614,2219.99,2023-01-18,Credit Card
35718,699550,949.87,2023-11-11,Debit Card
63234,143726,691.57,2022-06-21,Bank Transfer
69617,602727,572.18,2022-12-10,Bank Transfer
36487,955591,4840.56,2022-11-11,Debit Card
77788,548445,575.07,2023-10-26,Debit Card
37358,196099,3862.44,2023-02-12,PayPal
5232,453068,2323.49,2022-10-03,Gift Card
63210,227755,85.21,2023-02-23,Bank Transfer
83256,339750,637.46,2023-03-18,Bank Transfer
55468,343158,2356.2,2023-08-05,Credit Card
22464,417059,3487.2,2023-08-05,Credit Card
36409,298546,1889.17,2023-05-26,Credit Card
23131,80025,1463.2,2023-08-28,Credit Card
85359,857664,2874.15,2023-07-27,PayPal
16937,875691,1748.88,2023-09-11,Debit Card
38890,240753,131.67,2023-07-26,PayPal
38456,100810,511.21,2023-10-15,Debit Card
48129,441140,1893.39,2023-06-26,Debit Card
88126,525244,2855.43,2023-07-08,Bank Transfer
39717,253297,469.39,2023-11-11,PayPal
27686,667925,3962.33,2022-07-06,PayPal
21496,35085,3518.38,2023-08-23,PayPal
86705,933901,2766.5,2023-09-13,PayPal
11117,518255,3690.56,2023-11-15,Debit Card
37995,693231,3614.19,2023-10-14,Gift Card
74986,626945,1052.76,2023-10-21,PayPal
29474,382996,1276.41,2023-10-19,Credit Card
99056,227056,2932.23,2023-06-29,Debit Card
31136,247868,2654.37,2022-02-16,Credit Card
940,573523,2943.38,2022-10-13,PayPal
93782,306866,4896.56,2023-06-14,PayPal
93037,466776,783.83,2023-10-21,Bank Transfer
18034,468987,4407.57,2022-11-11,PayPal
30834,980231,2184.71,2022-09-20,PayPal
30022,447199,2640.93,2023-10-09,Bank Transfer
4423,813829,3583.35,2023-03-09,PayPal
78680,30119,1829.95,2023-07-04,Debit Card
31511,321815,833.4,2023-10-10,Bank Transfer
65992,309511,4494.69,2023-10-26,Gift Card
69132,168644,4912.43,2023-05-03,Debit Card
68036,366979,3844.57,2023-01-05,PayPal
72879,700491,3504.67,2023-08-02,Debit Card
35276,764887,1750.41,2023-01-12,PayPal
75935,754612,80.34,2023-10-02,Debit Card
37997,422410,566.75,2022-12-03,Debit Card
99550,50064,2649.78,2023-08-30,PayPal
2367,814300,4041.07,2023-11-04,Bank Transfer
97657,495733,2259.84,2023-06-09,Gift Card
31747,212727,1411.76,2023-04-02,Credit Card
40435,665900,943.14,2023-09-07,Debit Card
14714,350357,863.53,2023-03-27,Bank Transfer
10412,837833,1397.31,2023-04-14,PayPal
50271,860014,3639.2,2022-06-30,PayPal
6372,293529,4838.91,2023-10-30,PayPal
31182,774944,3097.25,2022-08-04,Gift Card
33563,41990,1762.86,2023-11-05,Debit Card
45888,378097,4765.78,2023-11-16,PayPal
72910,416716,3080.3,2023-02-11,Bank Transfer
93808,599401,4021.3,2022-08-30,Bank Transfer
16525,673289,1252.64,2022-10-06,Debit Card
99329,16231,4704.94,2023-09-12,Credit Card
61431,492430,496.06,2023-05-26,Bank Transfer
3078,152651,958.78,2022-12-19,Gift Card
1325,728111,2603.35,2023-11-13,PayPal
51192,42357,1495.45,2022-12-16,Debit Card
75563,224685,705.29,2023-05-25,Credit Card
52527,975011,698.57,2023-05-30,Bank Transfer
14496,438643,924.44,2023-09-29,Credit Card
7979,352410,2236.99,2023-04-30,Gift Card
89745,217964,2727.23,2023-10-16,PayPal
53917,479103,515.84,2023-06-14,Debit Card
11364,466490,3852.99,2023-03-21,PayPal
82650,645696,2317.2,2023-10-03,Debit Card
19379,531155,855.76,2023-09-06,Credit Card
2141,412794,1139.26,2023-05-19,PayPal
89158,229555,1574.47,2022-10-03,Credit Card
81000,629862,3025.4,2023-09-24,Credit Card
1617,363769,2340.15,2022-05-15,Bank Transfer
44827,340690,1282.87,2022-09-29,Credit Card
52851,75721,4759.35,2023-01-14,Bank Transfer
67594,515187,677.96,2023-02-05,Gift Card
77747,4796,1214.67,2023-04-06,PayPal
24076,217818,3626.97,2023-04-29,Credit Card
32237,445612,2071.52,2023-10-18,Credit Card
50300,84703,2854.22,2023-05-24,Bank Transfer
84648,355544,1207.86,2023-09-14,Bank Transfer
81023,938942,981.56,2023-11-11,Bank Transfer
44106,352320,1086.6,2023-07-29,Credit Card
7351,868632,1017.05,2023-11-02,Bank Transfer
89120,653366,1142.4,2023-11-09,Gift Card
58445,584121,2157.44,2023-08-29,Gift Card
18327,418948,1350.69,2023-10-01,Gift Card
14921,846885,1000.14,2023-08-26,PayPal
28377,467761,3135.66,2023-06-30,Debit Card
79336,785719,1027.48,2023-08-15,Gift Card
46816,551873,1745.48,2023-02-22,Bank Transfer
15639,647156,2591.28,2023-02-24,Credit Card
61045,702032,4935.43,2023-06-28,Debit Card
83989,736018,4505.67,2023-10-03,Credit Card
15453,580123,2463.27,2022-10-20,Debit Card
36221,661434,3326.36,2023-03-18,Bank Transfer
39846,424277,3251.2,2023-09-19,Credit Card
49498,491523,3869.85,2023-04-04,Bank Transfer
75427,250093,699.96,2023-02-17,Gift Card
91887,911947,2652.93,2023-07-12,PayPal
773,255971,3850.49,2023-06-09,Debit Card
12420,308223,1196.63,2022-11-27,Gift Card
7065,950577,544.93,2023-09-19,Gift Card
44763,885836,4312.63,2023-07-05,PayPal
9553,323367,2799.65,2023-10-02,Bank Transfer
51066,186517,824.22,2022-12-29,Gift Card
88098,286373,2804.15,2023-05-29,Bank Transfer
69377,605455,594.83,2022-08-20,Gift Card
72616,154911,4322.81,2022-09-07,Credit Card
16852,175527,2706.92,2022-10-17,Bank Transfer
53182,317923,2018.53,2023-06-28,Gift Card
84825,873598,2974.63,2022-05-08,Bank Transfer
80608,30972,3644.24,2023-06-13,PayPal
87366,59371,1676.89,2022-07-30,Bank Transfer
62925,807356,3503.0,2023-05-16,Gift Card
24056,807934,4433.44,2023-10-05,Credit Card
35323,317050,689.14,2023-03-04,PayPal
86120,174769,1855.75,2023-06-06,Gift Card
38028,296859,3141.08,2023-08-18,Debit Card
56233,860743,267.78,2023-08-13,Credit Card
43804,974197,2135.67,2023-09-06,Bank Transfer
43085,240078,4484.98,2023-08-02,Credit Card
81804,450090,2265.18,2023-08-10,Credit Card
4141,155452,413.0,2023-11-11,PayPal
66019,96871,985.93,2023-04-09,Gift Card
96535,989838,2758.26,2023-11-01,Credit Card
98327,639821,2015.61,2022-07-24,Bank Transfer
97207,784808,2547.7,2022-11-27,Bank Transfer
20123,736354,3198.04,2023-10-14,Credit Card
27489,111010,220.59,2022-12-28,Gift Card
25776,261847,3884.16,2023-04-28,Gift Card
9403,693859,3840.49,2022-04-13,Bank Transfer
85489,347885,4783.79,2023-10-18,Credit Card
86420,962834,1999.27,2022-10-05,Credit Card
95072,753984,1150.24,2023-10-28,Debit Card
10433,491765,1535.43,2022-08-15,Bank Transfer
60562,762312,3261.14,2023-06-02,Debit Card
59602,393265,4209.84,2023-09-09,PayPal
31974,404659,2506.27,2022-03-11,Gift Card
60076,478376,609.54,2023-10-31,Gift Card
28981,263271,61.35,2023-06-29,Bank Transfer
64120,133483,1300.16,2023-08-22,Gift Card
46662,152071,4417.32,2023-08-05,Credit Card
32616,484772,1481.63,2022-11-08,Bank Transfer
64320,992479,4617.54,2023-11-12,Bank Transfer
69498,555312,3446.67,2023-03-07,PayPal
36555,585765,1199.53,2023-10-12,Bank Transfer
23526,405397,3702.18,2023-10-10,Gift Card
62623,974968,4363.0,2022-05-26,Gift Card
74115,483010,3202.8,2022-12-16,Gift Card
43476,711451,3482.39,2023-10-02,Bank Transfer
14034,306560,1926.91,2022-08-18,Bank Transfer
34211,532593,2868.77,2023-07-06,Bank Transfer
77101,707591,2528.2,2023-07-27,Gift Card
40776,405333,4550.0,2023-02-07,Credit Card
40278,66624,810.24,2023-08-30,Bank Transfer
58052,904159,3154.95,2023-01-11,PayPal
18215,242922,1605.79,2023-10-16,PayPal
74959,989527,4795.36,2023-10-22,Credit Card
4376,848718,1921.11,2023-04-02,Debit Card
15181,976891,961.76,2023-05-10,Debit Card
78096,155568,2692.45,2023-04-15,PayPal
64326,147184,2190.72,2023-02-28,Credit Card
1175,662121,1788.25,2023-05-25,Gift Card
41969,465893,2217.7,2023-01-30,Bank Transfer
15111,855413,3762.32,2022-01-30,PayPal
10441,236651,1107.44,2023-11-02,Debit Card
76032,948446,1709.66,2023-02-28,PayPal
97724,16351,4318.41,2023-05-15,Debit Card
86922,97818,318.22,2023-11-14,PayPal
9289,50439,1406.19,2023-10-10,PayPal
44246,407194,600.32,2023-10-26,PayPal
55051,533734,3760.64,2023-08-07,Debit Card
25753,857814,4339.49,2022-10-22,Gift Card
71434,730197,4489.49,2023-09-02,Bank Transfer
18330,261967,4408.72,2023-01-19,Bank Transfer
43273,439200,2477.37,2022-09-20,Gift Card
72997,949368,1210.26,2023-02-03,Bank Transfer
42267,296689,4387.43,2023-06-07,Debit Card
26668,852070,2114.52,2023-04-21,PayPal
42917,228347,2921.05,2023-09-19,Bank Transfer
34195,489369,3015.0,2023-09-25,Gift Card
77150,886600,1392.38,2023-03-05,Credit Card
76842,983061,2413.84,2023-03-07,Bank Transfer
45072,234925,1541.58,2023-10-29,Credit Card
20593,729906,285.47,2023-02-22,Credit Card
66424,456842,2199.7,2023-04-17,Gift Card
32090,300915,3375.51,2022-10-04,Bank Transfer
32552,180107,2151.17,2022-11-19,Bank Transfer
61385,261894,3117.67,2023-09-27,Credit Card
3380,915123,780.37,2023-04-24,Credit Card
90877,620720,1181.71,2022-07-16,PayPal
47047,819275,861.74,2023-07-17,Gift Card
87033,931714,828.47,2022-06-05,PayPal
53583,773910,2134.69,2023-08-19,Bank Transfer
57153,291398,4710.68,2023-04-02,Gift Card
44335,70832,3707.81,2023-11-11,PayPal
11225,586230,2845.46,2023-06-02,Bank Transfer
8942,837658,1497.59,2022-08-20,PayPal
51335,374253,4169.53,2023-09-17,PayPal
71261,680818,3480.43,2023-10-26,Bank Transfer
75094,103229,3591.81,2022-11-28,Gift Card
34838,765455,1378.84,2023-08-16,PayPal
62961,57528,3629.91,2023-09-11,Bank Transfer
97770,984693,3335.47,2023-02-09,Credit Card
39409,53694,4219.71,2023-11-12,Gift Card
55210,254925,1930.35,2023-11-14,Credit Card
14860,372869,4324.72,2023-09-07,Credit Card
41852,20700,120.93,2023-11-06,Bank Transfer
41853,367910,85.25,2023-08-07,PayPal
3016,546019,577.67,2023-08-27,Gift Card
4545,680011,4530.96,2023-10-07,Gift Card
95832,314174,119.22,2022-05-30,Credit Card
25700,33839,1511.08,2022-12-19,Debit Card
16184,628857,905.18,2023-11-16,PayPal
6639,678683,4312.43,2023-10-10,Gift Card
33979,537757,943.58,2023-08-20,Debit Card
8650,434457,2800.41,2023-03-25,Debit Card
18177,247706,2749.38,2023-08-22,PayPal
9344,72,4789.95,2023-11-04,Bank Transfer
50608,793079,4575.72,2022-10-16,Bank Transfer
36168,542085,2016.39,2023-03-12,Bank Transfer
20069,706041,1991.49,2023-11-11,Bank Transfer
84390,21790,625.67,2023-07-26,Bank Transfer
76508,382917,2029.18,2022-02-28,PayPal
87379,794831,1571.76,2022-12-27,Bank Transfer
41494,726293,4334.29,2023-07-20,PayPal
48673,529573,3443.48,2022-12-12,Debit Card
88701,462187,3453.99,2022-12-24,Credit Card
85108,495661,1263.43,2023-03-24,PayPal
17349,742158,2466.13,2023-08-08,Debit Card
56088,400808,1112.99,2023-07-25,Credit Card
19891,33119,576.43,2022-10-29,PayPal
59102,198276,4543.79,2023-06-13,PayPal
89018,924466,4979.21,2023-11-07,Debit Card
19151,245293,4093.82,2023-06-20,Credit Card
93557,894324,502.21,2023-05-14,Bank Transfer
43841,368092,105.35,2022-08-18,Credit Card
2587,904871,3356.04,2023-11-04,Gift Card
45727,894680,135.81,2023-09-15,Debit Card
32636,540827,3157.59,2023-04-08,Bank Transfer
87280,476462,2712.67,2023-04-20,Credit Card
64153,341488,410.95,2023-10-15,Credit Card
82399,646268,2724.19,2023-07-03,PayPal
34963,362138,4550.35,2023-07-21,Debit Card
7799,509653,604.26,2023-03-22,PayPal
59979,557212,3300.41,2022-04-17,Bank Transfer
79777,336692,3272.56,2023-09-03,Debit Card
88746,786874,3598.65,2023-04-18,Bank Transfer
44947,370880,4380.98,2023-08-26,Credit Card
16680,697691,3501.44,2023-06-26,Debit Card
34957,673094,710.91,2023-07-29,Gift Card
75328,233212,4826.31,2023-03-12,PayPal
78241,317618,1957.63,2022-08-31,Debit Card
71874,228760,2392.76,2023-11-09,Gift Card
98326,228254,4708.77,2023-06-15,PayPal
93586,228850,419.99,2023-07-19,Gift Card
58775,322591,1928.37,2023-08-12,Gift Card
76584,237643,4898.17,2022-09-13,Debit Card
17455,716035,4620.24,2022-11-04,Credit Card
88121,223698,2695.44,2023-10-08,Debit Card
50645,747972,2677.9,2023-10-31,Gift Card
1731,467755,3249.46,2023-07-14,Gift Card
18160,757665,4720.83,2023-08-03,Debit Card
9583,764719,3525.45,2023-03-03,Debit Card
31455,82537,4826.23,2023-11-06,Gift Card
81928,550479,2716.48,2023-04-01,PayPal
28992,115919,2448.1,2022-02-10,Bank Transfer
34371,484773,3912.29,2023-01-20,Bank Transfer
57049,883335,4563.07,2023-05-15,PayPal
48600,968237,477.02,2022-06-13,Bank Transfer
30658,878940,1037.75,2023-09-17,Debit Card
46900,164812,1829.31,2022-03-12,Debit Card
44226,316096,1472.52,2023-08-11,PayPal
48753,558920,597.49,2023-09-04,Debit Card
50724,936100,3148.51,2023-11-04,PayPal
81255,998489,4673.29,2023-11-07,Gift Card
79199,35975,56.96,2022-11-15,Credit Card
75360,440037,1018.29,2022-12-23,Debit Card
74426,927457,4055.92,2023-07-14,Bank Transfer
77105,642310,2970.52,2022-10-31,Bank Transfer
6306,964803,4064.13,2022-11-12,Debit Card
19170,908795,1563.81,2023-07-09,Debit Card
72338,564483,151.04,2023-03-18,Gift Card
65590,289605,3189.31,2023-05-09,Gift Card
67361,34109,1942.36,2022-10-08,PayPal
95014,210543,4533.73,2023-03-14,Bank Transfer
71711,253312,543.24,2022-04-30,Debit Card
55811,956159,1600.25,2023-04-14,PayPal
23153,793000,2045.38,2023-04-08,Debit Card
83643,643360,2732.85,2022-12-24,Gift Card
59394,218555,4433.16,2022-07-06,Gift Card
68741,862311,765.21,2023-04-21,Gift Card
12677,7577,2392.41,2023-07-05,Bank Transfer
40572,883501,465.53,2023-11-13,Bank Transfer
98286,829878,1551.95,2023-07-06,Bank Transfer
90742,981812,1369.5,2023-07-11,Credit Card
64660,469306,3745.35,2023-11-16,Bank Transfer
69206,569457,3732.83,2023-03-04,PayPal
70884,594983,2394.63,2023-11-12,Debit Card
91018,659491,4307.5,2022-12-08,Credit Card
32222,698079,3769.47,2023-11-09,Debit Card
83579,364529,3309.17,2023-08-25,Debit Card
63837,404945,1453.39,2023-10-08,Gift Card
94873,672786,3066.73,2023-08-06,Gift Card
82948,336212,1479.56,2023-09-13,Debit Card
8626,140441,2199.8,2023-04-13,Bank Transfer
9837,255025,3869.6,2023-11-14,PayPal
69948,550149,3713.19,2023-08-27,Credit Card
45736,669858,2200.34,2023-07-25,Bank Transfer
66680,826083,745.43,2023-08-17,Credit Card
28487,355544,1207.86,2023-06-27,PayPal
63939,129968,2140.71,2023-11-05,Bank Transfer
26217,706041,1991.49,2022-12-14,Gift Card
12377,173920,4003.76,2023-06-16,Debit Card
62712,603200,2681.78,2022-12-08,Credit Card
45610,370727,119.05,2023-09-06,Credit Card
17240,7173,3592.28,2023-04-01,Gift Card
2011,327876,1218.79,2023-11-12,Bank Transfer
89810,941156,1593.76,2023-03-27,Credit Card
64475,262920,1039.92,2023-08-22,Gift Card
93788,234223,3172.0,2023-09-04,PayPal
65318,615682,4943.32,2023-10-17,Debit Card
43738,971619,1269.87,2023-11-03,Credit Card
58585,497363,95.09,2022-09-13,Credit Card
3216,116173,1933.59,2023-10-27,Credit Card
9116,389728,134.62,2022-07-04,Credit Card
18878,445959,632.68,2023-08-17,PayPal
33633,169271,235.45,2023-09-15,PayPal
98186,906559,4799.72,2022-07-01,Bank Transfer
81659,787630,944.17,2023-06-02,PayPal
58597,887391,1874.34,2023-02-26,Bank Transfer
41159,371764,3760.29,2023-10-02,Gift Card
99640,478312,3887.78,2023-01-25,Debit Card
19650,327080,1659.48,2023-04-10,Debit Card
7669,448301,1399.73,2023-10-30,PayPal
26661,594159,2777.83,2023-10-13,Debit Card
29512,347467,3427.61,2023-06-05,PayPal
98799,801572,2825.61,2023-11-07,Gift Card
33701,719135,3465.56,2023-02-06,PayPal
17711,539376,3411.15,2023-09-23,Bank Transfer
6934,995698,2248.16,2023-02-16,Gift Card
86578,389480,2848.0,2022-04-25,Gift Card
58270,904909,872.3,2023-11-16,PayPal
45158,839824,302.74,2023-08-16,Bank Transfer
92880,606445,1709.2,2023-07-13,Bank Transfer
24652,950568,4143.06,2022-11-21,PayPal
38817,226847,3815.74,2023-02-19,PayPal
82511,906920,3573.86,2022-06-01,Bank Transfer
197,748198,2833.33,2022-11-15,Debit Card
9487,179538,2632.78,2022-10-05,PayPal
16759,868768,1132.6,2022-09-30,Bank Transfer
97332,733666,1471.5,2023-11-06,PayPal
12259,259889,616.51,2022-11-03,Credit Card
93611,771617,709.99,2023-07-03,Credit Card
59482,562065,1756.68,2023-10-19,Gift Card
16285,818137,1233.91,2022-11-22,Gift Card
27683,564278,109.34,2023-06-24,Gift Card
99493,211725,2115.42,2023-09-26,Credit Card
49037,936194,1346.62,2023-11-13,Debit Card
74990,803465,2857.68,2023-04-16,Debit Card
15513,337132,3608.26,2023-06-04,Debit Card
68079,144546,4326.97,2023-08-17,Debit Card
16559,573606,2550.88,2023-09-03,PayPal
65499,216972,3697.44,2022-04-30,Debit Card
86929,572126,4165.78,2023-03-30,Credit Card
51693,99189,4517.36,2023-06-01,Gift Card
97930,75847,4258.06,2022-09-13,Credit Card
57288,561150,848.61,2023-06-20,PayPal
17824,887951,1039.05,2022-08-21,Credit Card
52207,290202,1530.23,2023-08-24,Gift Card
21679,101423,4214.13,2023-07-23,Bank Transfer
9158,521732,1262.4,2023-01-07,Bank Transfer
66529,813005,2167.91,2023-06-16,Debit Card
75378,470223,4702.23,2023-09-03,Debit Card
98845,746519,714.48,2023-09-24,Credit Card
45256,445841,3603.02,2023-08-24,Credit Card
88922,679765,1245.43,2023-10-14,PayPal
87245,377285,850.29,2023-04-06,PayPal
11927,178828,1446.18,2023-05-15,Debit Card
57079,772551,4977.68,2023-11-12,Debit Card
87214,926248,1009.31,2023-10-27,Credit Card
24676,48995,4374.72,2023-04-22,PayPal
84256,69991,1234.9,2023-08-20,Bank Transfer
97397,484180,625.45,2023-10-13,PayPal
2855,870008,2543.19,2023-07-28,Debit Card
52510,387480,1951.42,2023-09-14,Gift Card
38812,585877,2589.26,2023-01-22,Credit Card
60717,285796,4149.25,2022-07-06,Bank Transfer
39016,680955,1159.31,2023-11-14,Gift Card
91671,556166,683.4,2023-05-03,Debit Card
38754,573826,4301.03,2023-07-25,Bank Transfer
10083,19142,4621.75,2023-03-01,Bank Transfer
79177,149672,1539.37,2023-07-18,Credit Card
37038,778056,3735.96,2023-06-29,Gift Card
69336,254227,111.07,2023-11-08,Debit Card
